技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"ジャブ

上
 / 7",10F,+1,+8,+8,,
"ワンツーパンチ

上,上
 / 7,10",,-1,+5,+5,,1段目から連続ヒット
"ワンツーアッパー

上,上,中
 / 7,10,17",,-5,+1,+31G,,"2段目カウンターから連続ヒット
ディレイ可
3段目カウンターで尻餅やられ
S2変更：カウンターで尻餅やられ"
"ライトストレート

上
 / 10",10F,+1,+7,+7,,
"ライトストレート～レフトアッパー

上,中
 / 10,12",,-2,+5,+5,,1段目から連続ヒット
"サイドハイキック

上
 / 25",17F,-14,D,D,,
"ハイキック

上
 / 20",13F,-5,+6,浮,37,
"ダークネスサイクロン(1)

中
 / 10",17F,-10,±0,±0,,
"ダークネスサイクロン(1)～背向け

中,特殊
 / 10",,-10,±0,±0,,
"ダークネスサイクロン

中,上
 / 10,20",,-3,D※,D※,,"1段目から連続ヒット
ディレイ幅13F
ヒット確認猶予13F
S2変更：ノーマルヒット+7F、カウンターでダウンがくの字ダウン
ディレイ幅、ヒット確認猶予が減少"
"ダークネスバズソー

中,中
 / 10,17",,-13,+8,D※,,"1段目から連続ヒット
ディレイ幅13F
ヒット確認猶予13F"
"ロンダートキック～背向け

中
 / 10",25F,-7,+3,+3,,"JS11F
判定持続7F"
"スペースローリングボディプレス（近距離）

中,中,打撃投げ
 / 10,25(,5)",,±0,打投,打投,,"JS
近距離ヒットで打撃投げに移行
ダメージ()内は打撃投げ成立の追加ダメージ
1段目ガードから発生13F以内で割り込み可
技後、アーマーキング側ダウン
S2変更：(Ver.2.20)パワークラッシュやレイジアーツで受け止めた際、攻撃が複数回ヒットしないように変更
仁の受け流し不可だったのを変更"
"スペースローリングボディプレス（遠距離）

中,中
 / 10,25",,±0,+2S,+2S,,"JS
ヒットで強制しゃがみ
技後、アーマーキング側ダウン
判定持続9Fまで確認"
"スペースローリングエルボー

中,中
 / 10,25",,-18,D※,D＊,,"JS
1段目から連続ヒット
1段目ガードから発生8F以内で割り込み可
ガードでアーマーキング側ダウン
判定持続18Fまで確認"
"ムーンサルトドロップ

中段ガード不能
 / 25",52F,D,D,D,,"技後、アーマーキング側ダウン
空振り時は足向け仰向けダウン
ヒット時は足向けうつ伏せダウン、相手は頭向け仰向けダウンでアーマーキング側+1F有利
S2変更：(Ver.2.20)パワークラッシュやレイジアーツで受け止めた際、攻撃が複数回ヒットしないように変更
仁の受け流し不可だったのを変更"
"ブラックエルボーフック(1)

中
 / 12",15F,-11,+2,+2,,
