技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"ジャブ

上
 / 7",10F,+1,+8,+8,,
"ワンツーパンチ

上,上
 / 7,10",,-1,+5,+5,,1段目から連続ヒット
"ワンツースリー

上,上,上
 / 7,10,6",,-3,+4,+4,,"2段目カウンターから連続ヒット
ディレイ可"
"ワンツースリー&フロストニードル

上,上,上,上
 / 7,10,6,18",,+7,浮※,浮※,,"3段目カウンターから連続ヒット
S2変更：ガードでひるみ（アンナ側有利）"
"スパークコンボ

上,上,上,下
 / 7,10,6,12",,-13,-2,-2,,"CS
3段目カウンターから連続ヒット
ディレイ可
しゃがみ帰着"
"ワンツーパンチ&レフトローキック

上,上,下
 / 7,10,10",,-14,-3,-3,,"CS
2段目カウンターから連続ヒット
ディレイ可
しゃがみ帰着"
"トリプルスマッシュ

上,上,上
 / 7,10,22",,-6,D※,D※,,"Sc
2段目カウンターから連続ヒット
ディレイ可
S2変更：スクリュー誘発"
"逆PDKコンボ
ﾖﾐ

上,下
 / 7,12",,-13,-2,-2,,"CS
1段目から連続ヒット
しゃがみ帰着"
"クロスストレート

上
 / 10",10F,+1,+7,+7,,
"逆ワンツーパンチ
ﾖﾐ

上,上
 / 10,6",,-3,+4,+4,,"1段目から連続ヒット
ディレイ可"
"逆ワンツー&フロストニードル
ﾖﾐ

上,上,上
 / 10,6,18",,+7,浮※,浮※,,"2段目カウンターから連続ヒット
S2変更：ガードでひるみ（アンナ側有利）"
"クイックスパークコンボ

上,上,下
 / 10,6,12",,-13,-2,-2,,"CS
2段目カウンターから連続ヒット
ディレイ可
しゃがみ帰着"
"ダブルフェイスウォッシュ

上,中
 / 10,14",,-11,±0,±0,,"1段目から連続ヒット
ディレイ幅10F
カウンター確認猶予6F
S2変更：新技"
"ダブルフェイスウォッシュ～CJ

上,中,特殊
 / 10,14",,-3,+8,+8,,"1段目から連続ヒット
ディレイ幅10F
カウンター確認猶予6F
S2変更：新技"
"ダブルスマッシュ

上,上
 / 10,22",,-6,D※,D※,,"Sc
1段目カウンターから連続ヒット
ディレイ可
S2変更：スクリュー誘発"
"PDKコンボ

上,下
 / 10,10",,-14,-3,-3,,"CS
1段目カウンターから連続ヒット
ディレイ可
しゃがみ帰着"
"サイドキック

上
 / 14",14F,-16,-5,-5,,
"スパイクコンボ

上,下
 / 14,10",,-17,-6,-6,,"CS
1段目から連続ヒット"
"スパイクコンボ&ライトアッパー

上,下,中
 / 14,10,10",,-13,浮,浮,,2段目カウンターから連続ヒット
"スパイクコンボ&ライトハイキック

上,下,上
 / 14,10,18",,-6,+5,浮,,2段目カウンターから連続ヒット
