技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"翠勁
ﾖﾐ

上
 / 8",10F,-2,+9,+9,,
"翠連勁～霞掌拳
ﾖﾐ

上,中
 / 8,15",,-7,+4,+4,,"霞掌拳（）に派生
1段目カウンターから連続ヒット"
"槍連勁
ﾖﾐ

上,中
 / 8,9",,-8,+3A,+3A,,1段目カウンターから連続ヒット
"槍連鬼首
ﾖﾐ

上,中,中
 / 8,9,24",,-2,D※,D※,,"Sc
鬼首落とし（）に派生
2段目ガードから発生15F以内で割り込み可"
"槍連鬼首～キャンセル
ﾖﾐ

上,中,中
 / 8,9",,-18,-7,-7,,
"槍連衝腿
ﾖﾐ

上,中,中
 / 8,9,20",,-12,D※,D※,,2段目から連続ヒット
"翠連下蹴り
ﾖﾐ

上,下
 / 8,10",,-11,±0,±0,,"1段目カウンターから連続ヒット
S2変更：ガードバック軽減"
"翠連刈脚
ﾖﾐ

上,下
 / 8,14",,-11,±0,+3,,"CS
刈脚（）に派生
1段目カウンターから連続ヒット
S2変更：ガードバック軽減"
"翠連刈脚～しゃがみ
ﾖﾐ

上,下
 / 8,14",,-11,±0,+3,,"CS
しゃがみ帰着
1段目カウンターから連続ヒット"
"芭蕉円舞(1)
ﾖﾐ

上
 / 9",12F,-11,±0,±0,,
"芭蕉円舞(2)
ﾖﾐ

上,上
 / 9,10",,-3,+8,+8,,1段目から連続ヒット
"芭蕉円舞
ﾖﾐ

上,上,上上
 / 9,10,8,20",,-9,D※,D※,,"Sc
2段目カウンターから連続ヒット"
"水芭蕉
ﾖﾐ

上,中
 / 9,20",,-19,D※,D※,,"JS
1段目から連続ヒット"
"百日紅(1)
ﾖﾐ

中
 / 17",14F,-7,+9,+9,,S2変更：判定強化
"百日紅
ﾖﾐ

中,中
 / 17,17",,-11,+8,D※,,"1段目から連続ヒット
ディレイ幅14F
ヒット確認猶予14F
S2変更：ヒット+2F→+8F
カウンターで崩れダウン（尻餅）→頭叩きつけダウン
判定強化"
"ハイキック

上
 / 18",11F,-7,+7,浮,37,
"水面澄まし
ﾖﾐ
【】
下
 / 22",26F,-26,D※,D※,60,"HCS6F
発生の値はコマンド完成から
硬直からの最速発生は27F
しゃがみ帰着
でキャンセル（全体硬直41F）
S2変更：ホーミングアタック
判定強化"
"圧勁
ﾖﾐ

中
 / 21",16F,-9,D※,D※,45,判定持続1F
