技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ

上
 / 7",10F,+1,+8,+8,,
"ストレートロンデル(2)

上,上
 / 7,7",,-1,+5,+5,,1段目から連続ヒット
"ストレートロンデル

上,上,上
 / 7,7,12",,-12,+2,+2,,"1段目から連続ヒット
S2変更：ダメージ10→12
ヒット-1F→+2F"
"ワンツーパンチ

上,上
 / 7,10",,-3,+3,+3,,1段目から連続ヒット
"ファストブレイク

上,上,中
 / 7,10,20",,-13,+9K,D※,,"Sc
2段目カウンターから連続ヒット
ディレイ幅10F
カウンター確認猶予7F"
"コース･ピカンテ(2)

上,下
 / 7,10",,-16,-5,-5,,1段目から連続ヒット
"コース･ピカンテ

上,下,中
 / 7,10,18",,-14,-6,D,,"2段目カウンターから連続ヒット
ディレイ幅11F
カウンター確認猶予5F"
"コース･サラート

上,上
 / 7,15",,-6,+5,浮,,1段目から連続ヒット
"コース･アチェート

上,下
 / 7,13",,-12,-1,-1,,1段目から連続ヒット
"クロスストレート

上
 / 8",10F,±0,+6,+6,,
"グランデステア(2)

上,中
 / 8,10",,-4,+4,+7,,1段目から連続ヒット
"グランデステア

上,中,中
 / 8,10,20",,-4,D※,D※,,"JS
2段目カウンターから連続ヒット"
"クロックムッシュ(1)

上
 / 14",18F,-9,-4,-4,,
"クロックムッシュ

上,中
 / 14,17",,-10S,+4S,D※,,"JS
ガード or ノーマルヒットで強制しゃがみ
1段目から連続ヒット
判定持続2Fまで確認"
"ハイキック

上
 / 15",13F,-9,+7,浮,41,
"ホッピングギブモーヴ(2)

上,中
 / 15,12",,-8,+3,+3,,
"ホッピングギブモーヴ

上,中,中
 / 15,12,14",,-5S,D※,D※,,"JS
ガードで強制しゃがみ
判定持続4Fまで確認"
"ブラックポワレ(1)

中
 / 18",19F,-13S,±0S,±0S,,ガード or ヒットで強制しゃがみ
"ブラックポワレ

中,中
 / 18,20",,-20,D※,D※,,"1段目から連続ヒット
ディレイ幅21F
カウンター確認猶予20F"
"ブラックポワレ(1)～SB

中,特殊
 / 18",,+4S,+17S,+17S,,"CS
しゃがみ帰着
ガード or ヒットで強制しゃがみ"
"ブラックポワレ(1)～RSB

中,特殊
 / 18",,-36S,-23S,-23S,,"CS
しゃがみ帰着
ガード or ヒットで強制しゃがみ"
