技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"ジャブ

上
 / 7",10F,+1,+8,+8,,
"ワンツーパンチ

上,上
 / 7,8",,-2,+5,+5,,"1段目から連続ヒット
S2変更：2段目カウンター+11F→+5F"
"ワンツースマッシュ

上,上,中
 / 7,8,18",,-6,+6,D※,,"1、2段目カウンターから連続ヒット
ディレイ幅10F
2段目カウンター確認猶予7F"
"ワンツーローキック

上,上,下
 / 7,8,15",,-12,+2,D※,,"1段目カウンターから連続ヒット
ディレイ可"
"ワンツーハイキック

上,上,上
 / 7,8,24",,-3,D※,D※,,"Sc
1 or 2段目カウンターから連続ヒット
ディレイ可
S2変更：2段目カウンターから連続ヒット"
"スネークコンビネーション(2)

上,上
 / 7,14",,-7,+4,+4,,1段目から連続ヒット
"スネークコンビネーション(3)

上,上,上
 / 7,14,18",,-7,+4,D※,,"2段目カウンターから連続ヒット
ディレイ可"
"スネークコンビネーション(4)

上,上,上,上
 / 7,14,18,17",,±0,D※,D※,,"ディレイ可
【】入力で3段目キャンセル"
"スネークコンビネーション

上,上,上,上,上
 / 7,14,18,17,22",,-9,D※,D※,,
"スネークコンビネーション(4)～キャンセル横移動
 or 
上,上,上,特殊
 / 7,14,18",,-10,+1,D※,,
"アトミックコンビネーション(A)

上,上,上,中
 / 7,14,18,21",,-5,D※,D※,,ScJS
"アトミックコンビネーション(B)

上,上,上,上,中
 / 7,14,18,17,21",,-5,D※,D※,,ScJS
"サザンクロスコンビネーション

上,上,中
 / 7,14,15",,-10,+1,+1,,2段目カウンターから連続ヒット
"サザンクロスプラスワン

上,上,中,上
 / 7,14,15,18",,-7,+7,+7,,3段目カウンターから連続ヒット
"クロスストレート

上
 / 10",10F,+1,+7,+7,,
"ＰＫコンビネーション

上,中
 / 10,14",,-10,+6,+6,,"1段目から連続ヒット
1段目カウンターでダウン
S2変更：ガードバック軽減"
"バックスピンミドルキック

中
 / 14",16F,-4,+7,+7,,
"ガトリングプラスワン(2)

中,中
 / 14,11",,-10,+1,+1,,1段目カウンターから連続ヒット
"ガトリングプラスワン(3)

中,中,中
 / 14,11,10",,-9,+2,+2,,2段目から連続ヒット
"ガトリングプラスワン

中,中,中,中
 / 14,11,10,14",,-10,D※,D※,,3段目カウンターから連続ヒット
