技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ

上
 / 7",10F,+1,+8,+8,,
"アッシュワイプ

上,上
 / 7,12",,-1,+6,+6,43,1段目から連続ヒット
"トゥルース

上,下
 / 7,11",,-12,-1,-1,,"1段目カウンターから連続ヒット
S2変更：新技"
"クロスストレート

上
 / 10",12F,-3,+3,+3,,"S2変更：ガード硬直±0F→-3F
ヒット+6F→+3F
ガード・ヒットバック軽減"
"ジャッジメントスクリュー(2)

上,中
 / 10,13",,-6,+5,+5,,"1段目から連続ヒット
S2変更：ガード硬直-11F→-6F
ヒット-5F→+5F"
"ジャッジメントスクリュー

上,中,中,特殊
 / 10,13,25",,-13,D※,D＊,,"Sc
2段目カウンターから連続ヒット
S2変更：ヒットでスターバーストに移行しない
カウンターできりもみダウン→スクリューダウン"
"サイドハイキック

上
 / 21",12F,-6,-1,浮※,,"S2変更：カウンター+9F→縦回転浮き
空中ヒットで縦回転やられ"
"ハイキック

上
 / 15",12F,-8,+3,浮,39,
"スカ―レイン

上,上
 / 15,13",,-5,+15K,D※,,"HScJS
1段目から連続ヒット
ディレイ幅11F
ヒット確認猶予5F
S2変更：判定中段→上段
ガード硬直-9F→-5F
ガードバック増大
カウンター+15KF→スクリューダウン"
"クリムゾンデルタエッジ(1)

中
 / 20",17F,-14,+2S,+2S,,
"クリムゾンデルタエッジ(2)
ヒット時
中,打投
 / 20,20",,,±0,±0,,
"クリムゾンデルタエッジ～SB
ヒット時ヒット時
中,打投,打投,特殊
 / 20,20,18",,,打投,打投,,"ヒット時、スターバースト状態に移行
1段目ヒットから連続ヒット
非スターバースト状態時は足向け仰向けダウン＆-5F不利
スターバースト状態時は頭向け仰向けダウン＆五分"
"クリムゾンデルタエッジ（）～SB
ヒット時ヒット時
中,打投,打投,特殊
 / 20,20,20",,,打投,打投,,コマンドはでも可
"ローリングスフィア

中
 / 20",24F,-10,D※,D※,,"JS13F
しゃがみ帰着
判定持続2Ｆ"
"トリニティーペイン(1)

上
 / 9",12F,±0,+6,+6,,
"トリニティーペイン(2)

上,中
 / 9,12",,-10,+6S,+6S,,"1段目から連続ヒット
S2変更：ガード硬直-13F→-10F
ヒット+3SF→+6SF"
"トリニティーペイン

上,中,中
 / 9,12,25",,-18,D,D,,"1段目 & 2段目カウンターから連続ヒット
ディレイ幅14F
S2変更：ダメージ28→25
ディレイ幅減
1段目カウンターから連続ヒット"
"シンクライシス～SB

上,中,特殊
 / 9,20",,-27,D※,D※,,"Sc
ヒット時、スターバースト状態に移行
1段目から連続ヒット"
"ホーリーエッジ

上
 / 27",18F,-5,+15K,D※,,"HScJS9F
S2変更：判定中段→上段
ガード硬直-9F→-5F
ガードバック増大
カウンター+15KF→スクリューダウン
ジャンプステータス発生6F→9F"
"アビスブレイク

中
 / 23",22F,+4S,+4S,D※,,"ガード or ノーマルヒットで強制しゃがみ
判定持続1F
S2変更：ガード硬直+2F→+4SF
ノーマルヒット+7SF→+4SF"
"クロススティング

中
 / 10",16F,-18,-7,-7,,
"クロスグレイヴ

中,中
 / 10,20",,-14,D※,D※,,"スターバースト版とは性能が異なる
1段目から連続ヒット
ディレイ可
ヒット確認猶予11Ｆ
S2変更：新技"
"オーバースコール

上
 / 25",17F,+2,D※,D※,53,H
"ステップインアッパー

中
 / 10",15F,-2,+9,+9,36,
"スカイアーク

中,中
 / 10,13",,-15,浮,浮,,"1段目から連続ヒット
S2変更：ヒット時のクラウディオ側硬直軽減"
"ディスターブフィスト

中
 / 19",14F,-13,+5,D※,46,"S2変更：ダメージ17→19
ガード時のお互いの硬直増加
ガードバック軽減
ノーマルヒット+2F→+5F
ヒットバック増加"
"ディスペルマジック(1)

中
 / 14",14F,-7,+4,+4,,
"ディスペルマジック

中,中
 / 14,20",,-12,D※,D※,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予13Ｆ
S2変更：ダメージ13→20
ガード硬直-13F→-12F
ガードバック軽減
側面ヒットの挙動を変更"
"ディスペルショット

中,上
 / 14,10",,-2,+4,+4,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予14Ｆ"
"フロントキック

中
 / 14",13F,-8,+3,+3,40,
"アクシオン

中
 / 16",17F,-8,+2,+2,,S2変更：ガード硬直-9F→-8F
"アクシオンバースト

中,中
 / 16,16",,-9,+4,+9,,"Sc
スターバースト版とは性能が異なる
1段目カウンターから連続ヒット
S2変更：新技"
"グラビティーポイント

下
 / 11",20F,-12,-1,-1,,"CS6F
しゃがみ帰着
S2変更：ガード硬直-11F→-12F
ヒット±0F→-1F"
"グラビティーゾーン

下,下
 / 11,15",,-12,-1,-1,,"CS
スターバースト版とは性能が異なる
1段目カウンターから連続ヒット
S2変更：新技"
"シットサイドキック

下
 / 12",16F,-17,-3,-3,,"CS4F
しゃがみ帰着"
"ローキック

下
 / 7",12F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"スペルビア
 or 背向け中
中
 / 28",13F,-18,D,D,,判定持続1F
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"シットストレート

特中
 / 8",11F,-4,+7,+7,,"CS4F
しゃがみ帰着
S2変更：ガードバック軽減"
"ツインクロー
 or しゃがみ中
特中,中
 / 8,12",,-13,-2,-2,,"CS
しゃがみ帰着
1段目カウンターから連続ヒット
S2変更：判定、特殊中段→中段
ガード硬直-15F→-13F
ヒット-4F→-2F"
"アケディア

下
 / 23",24F,-17,+1S,D※,,"CS6F
しゃがみ帰着
ノーマルヒットで強制しゃがみ
判定持続1F
S2変更：ダメージ22→23
ガードバック軽減"
"ラグランジュニードル(1)

下
 / 7",15F,-13,-2,-2,,"ヒットで強制立ち
S2変更：ガード硬直-11F→-13F
ヒット±0F→-2F
しゃがみにヒットで強制立ち"
"ラグランジュニードル

下,上
 / 7,10",,-13,-2,-2,,"1段目から連続ヒット
S2変更：ダメージ14→10
ガード硬直-9F→-13F
ヒット+2F→-2F
カウンターで連続ヒット→ノーマルで連続ヒット"
"ノヴァエクスプロージョン

中,中
 / 20,20",21F,-4,D※,D※,,"スターバースト版とは性能が異なる
S2変更：新技"
"ストームバニッシュ

中
 / 20",18F,-9,D,D,,"HSc
判定持続1F
S2変更：カウンターでうつ伏せ吹き飛びダウン→ダウン"
"スカイリヴォルブ～SB

上,特殊
 / 30",14F,-9,D※,D※,,"ヒット時、スターバースト状態に移行
S2変更：リーチ延長"
"インテンスコア

中
 / 16",13F,-4,+7,+7,36,
"シャイニングレイ(1)

中
 / 10",17F,-14,-3,-3,,
