技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ

上
 / 7",10F,+1,+8,+8,,
"サミング&ヒルト(2)

上,上
 / 7,8",,-4,+7,+7,,1段目から連続ヒット
"サミング&ヒルト

上,上,中
 / 7,8,22",,-9,D,D※,,"2段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予5F"
"ジャブ～ボディ

上,中
 / 7,8",,-9,+2,+2,,1段目から連続ヒット
"シュツルムスマッシュ

上,中,中
 / 7,8,20",,-14,D※,D＊,,1 or 2段目カウンターで連続ヒット
"ロシアンフックラッシュ(2)

上,上
 / 7,14",,-7,+1,+9,,1段目から連続ヒット
"ロシアンフックラッシュ

上,上,中
 / 7,14,20",,-12,D※,D＊,,2段目カウンターから連続ヒット
"ロシアンフックラッシュ(2)～フェイントキャッチ
【】
上,上,上投
 / 7,14,35",,,上投,上投,,"投げ抜け
投げ抜け受付14F
投げ抜け時ドラグノフ側+5F
チャージで投げ抜け不可"
"ロシアンフックラッシュ(2)～フェイントキャッチ～キャンセル
【】
上,上,特殊
 / 7,14",,-32,-24,-16,,
"クロスストレート

上
 / 10",10F,±0,+9,+9,,S2変更：ヒットバック軽減
"ワンツー

上,上
 / 10,8",,-2,+6,+6,,1段目から連続ヒット
"ワンツースカッドキック

上,上,上
 / 10,8,24",,-9,D※,D※,,"2段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予9F"
"ワンツーマインキック

上,上,下
 / 10,8,14",,-12,+3S,+3S,,"ヒットで強制しゃがみ
ディレイ可"
"サイドキック

中
 / 10",15F,-9,+2,+2,,
"ディスコネクター(2)

中,上
 / 10,8",,-2,+7,+7,,1段目から連続ヒット
"ディスコネクター

中,上,中
 / 10,8,24",,-12,D※,D※,,"2段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予11F"
"ストレートキック

上
 / 15",12F,-9,-1,+7,,
"ストレートキック･ヘッドハンター

上,上
 / 15,12",,-6,+8,+8,,1段目から連続ヒット
"ストレートキック･プロペラキック

上,中
 / 15,20",,-12,D※,D※,,"1段目カウンターから連続ヒット
判定持続1F"
"ストレートキック･アバランチブラスト

上,中
 / 15,25",,+3,D※,D＊,,"ScJS
しゃがみ帰着
S2変更：ダメージ28→25
判定下方強化"
"ハウンドインパクト

中
 / 25",21F,-14,D※,D※,,"Pw8F
S2変更：ガード硬直-12F→-14F"
"レッグフレイル

上
 / 25",25F,-14,D※,D※,,"JS13F
技後、ドラグノフ側ダウン"
"レッグフレイル～受身
任意ボタン
上,特殊
 / 25",,-24G,D※,D※,,"JS13F
しゃがみ帰着
受身の入力タイミングは落下中"
"スタンガン･ニー(1)

上
 / 16",19F,-8,+3,+8,,
"スタンガン･ニー

上,中
 / 16,24",,-7,D※,D＊,,"1段目カウンターから連続ヒット
ディレイ幅11F
カウンター確認猶予11F"
"ステップインシェーブキック

中
 / 11",20F,-6,+2,+2,,
"ステップインシェーブキック～スニーク

中,特殊
 / 11",,-1,+7,+7,,"ブーストエルボー（スニーク中）のみ発生が1F早い
S2変更：ブーストエルボー（スニーク中）のみ発生を早くした"
"ステップインバルディッシュ

中,上
 / 11,20",,-9,D※,D＊,,"Sc
1段目から連続ヒット"
"ステップインマンティス（近距離）

中,中
 / 11,14(,20)",,-12,打投,打投,,"1段目カウンターから連続ヒット
近距離ヒットで打撃投げ
ダメージ()内は打撃投げ成立時"
"ステップインマンティス（遠距離）

中,中
 / 11,14",,-12,-1S,+4S,,"ヒットで強制しゃがみ
判定持続1Fまで確認"
"コンビネーション･クーガー(1)

上
 / 16",14F,-7,+4,+4,,
"コンビネーション･クーガー(2)

上,上
 / 16,14",,-11,±0,浮,,"1段目から連続ヒット
ディレイ幅6F
カウンター確認猶予6F"
"コンビネーション･クーガー

上,上,上
 / 16,14,20",,-5,D※,D※,,
"コンビネーション･オルカ

上,下
 / 16,12",,-12,+3S,+3S,,"ヒットで強制しゃがみ
1段目カウンターから連続ヒット"
"スキャバード

上
 / 20",17F,-9,D※,D※,49,Sc
"スイッチブレード

中
 / 13",13F,-2,+7,+7,36,
"スイッチブレード･リッパー

中,上
 / 13,23",,-7,D※,D※,,"1段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予8F"
"サイドロックアッパー

中
 / 14",15F,-12,浮,浮,,
"マンティスヒール（近距離）

中
 / 16(,20)",17F,-6,打投,打投,42,"近距離ヒットで打撃投げ
ダメージ()内は打撃投げ成立時"
"マンティスヒール(遠距離)

中
 / 16",17F,-6,+5S,+10S,,"ヒットで強制しゃがみ
判定持続1Fまで確認"
"フロントキック

中
 / 14",12F,-9,+2,+2,40,
"スキナーエルボー

中
 / 18",18F,±0S,+7S,D※,,ガード or ノーマルヒットで強制しゃがみ
"シャープナー

下
 / 17",18F,-13,-1,+13G,,"CS6F
しゃがみ帰着
判定持続1F
S2変更：ヒット±0SF→-1F
（強制しゃがみ削除）"
"デタッチャブルキック(1)

下
 / 13",17F,-16,-4,±0S,,カウンターで強制しゃがみ
"デタッチャブルキック

下,中
 / 13,18",,-11,+5,+23G,,"1段目カウンターから連続ヒット
1段目ガード時、発生11F以内で割り込み可"
"セパレーター(1)

下
 / 12",15F,-15,-9,-4,,カウンター時、相手やられモーション変化
"セパレーター(2)

下,上
 / 12,8",,-11,+5,+5,,1段目カウンターから連続ヒット
"セパレーター

下,上,上
 / 12,8,21",,-16,D※,D※,,1段目カウンター or 2段目から連続ヒット
"スティレット

下,上
 / 12,23",,-15,D※,D※,,1段目カウンターから連続ヒット
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"コンビネーション･リッパー(1)

中
 / 12",14F,-7,+4,+4,,
"コンビネーション･リッパー(2)

中,中
 / 12,10",,-10,+1,+3,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予10F"
"コンビネーション･リッパー

中,中,中
 / 12,10,20",,-14,D※,D※,,"2段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予7F
S2変更：ダウンヒットで鐘楼やられ"
"クリッピングスイープ（クリーン）

下
 / 21(,30)",27F,-26,D※,打投,62,"CS6F
カウンターでクリッピング･ヒールフック（打撃投げ）に移行
ダメージ()内は打撃投げ成立時
判定持続1Fまで確認
持続ガードでもガード硬直フレームは固定"
"クリッピングスイープ（先端）

下
 / 14",27F,-26,-7,D※,,"CS6F
判定持続1Fまで確認
持続ガードでもガード硬直フレームは固定"
"フェイントローキャッチ
【】
しゃがみ投げ
 / 45",40F,,下投,,,"投げ抜け
投げ抜け受付14F
投げ抜け時ドラグノフ側+5F"
"フェイントローキャッチ～キャンセル
【】
特殊
 / ",,,,,50,しゃがみ帰着
"ローキック

下
 / 7",12F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"ポメルスイング(1)

中
 / 14",17F,-10,+1,+1,,
"ポメルスイング

中,中
 / 14,18",,-13,+10K,D※,,"Sc
1段目から連続ヒット"
"サミング&クリップ(1)

中
 / 14",15F,-3,+8,+8,,しゃがみ帰着
"サミング&クリップ(2)

中,上
 / 14,11",,-5,+6,+6,,1段目から連続ヒット
"サミング&クリップ（近距離）

中,上,下
 / 14,11,24(,20)",,-26,D※,打投,,"CS
カウンターでクリッピング･ヒールフック（打撃投げ）に移行
ダメージ()内は打撃投げ成立時"
"サミング&クリップ（遠距離）

中,上,下
 / 14,11,16",,-26,-7,D※,,CS
"サミング&クリップキャンセル～フェイントローキャッチ
【】
中,上,しゃがみ投げ
 / 14,11,45",,,下投,,,"CS
投げ抜け
投げ抜け受付14F
投げ抜け時ドラグノフ側+5F"
"サミング&クリップキャンセル～フェイントローキャッチ～キャンセル
【】
中,上,特殊
 / 14,11",,,,,,CS
"セレーションカッター

上
 / 17",14F,-9,+11K,+11K,,HSc
"トスアップダウン(1)

中
 / 15",15F,-4,+7,+7,,
"トスアップダウン

中,中
 / 15,15",,-7,+4S,+4S,,"ヒットで強制しゃがみ
1段目カウンターから連続ヒット"
"トスアップダウン～しゃがみ

中,中
 / 15,15",,-7,+4S,+4S,,"しゃがみ帰着
ヒットで強制しゃがみ
1段目カウンターから連続ヒット"
"トスアップダウン～イヤーカップ

中,中,上
 / 15,15,17",,+1,+5,+5,,1段目カウンター or 2段目から連続ヒット
"トスアップダウン～テイクダウン

中,中,中投
 / 15,15,5",,,中投,,,ローアングルタックルに移行
"トスアップダウン～テイクダウン～キャンセル横移動
任意ボタン
中,中,特殊
 / 15,15",,-50,-39,-39,,ヒットで強制しゃがみ
"トスアップスラッシュ

中,上
 / 15,22",,-9,D※,D※,,"Sc
1段目から連続ヒット"
"ブリザードハンマー

中
 / 26",22F,+6,D※,D※,,
"イナーシャルキック

上(上中段P捌き)
 / 22",28F,-2,D※,D※,,上中段パンチ捌き受付、発生7～15F
"サブゼロ

ガード不能
 / 60",63F,D,D※,D※,,
