技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"レフトジャブ

上
 / 7",10F,+1,+8,+8,,
"ワンツーパンチ

上,上
 / 7,12",,-4,+5,+5,,"1段目から連続ヒット
S2変更：ヒット+4F→+5F"
"ワンツーパンチ～逆立ち

上,上,特殊
 / 7,12",,-2,+6,+6,,1段目から連続ヒット
"コンボジラール

上,上,特殊
 / 7,12",,-26,-17,-17,,"JS
ジラール（）に派生
しゃがみ帰着"
"レフトジャブ～ガファンヨト～逆立ち

上,中,特殊
 / 7,15",,-11,-1S,-1S,,"1段目カウンターから連続ヒット
ヒットで強制しゃがみ"
"レフトジャブ～ガファンヨト～座り

上,中,特殊
 / 7,15",,-12,-1S,-1S,,"1段目カウンターから連続ヒット
ヒットで強制しゃがみ"
"クロスストレート

上
 / 10",10F,±0,+8,+8,,
"コンビナソ･オゥフナール(1)

上
 / 17",18F,-9,+7,D※,51,H
"コンビナソ･オゥフナール

上,中
 / 17,23",,-4,D※,D※,,ScJS
"トロッカ･エ･ピィアオ～座り
【】
下下,特殊
 / 10,10",29F,-24,D※,D※,,"CS7FJS8F
発生の値はコマンド入力開始から
（ディレイ時はコマンド完成から）
ガード時、構え派生不可"
"トロッカ･エ･ピィアオ～逆立ち
【】
下下,特殊
 / 10,10",,-24,D※,D※,,"CS7FJS8F
ガード時、構え派生不可
S2変更：(Ver.2.10)特定条件で2段目ダメージが高くなるのを修正"
"トロッカ･エ･ピィアオ～ヘランパゴ～座り
【】
下下,中,特殊
 / 10,10,21",,-14,浮※,浮※,,
"トロッカ･エ･ピィアオ～バイア
【】
下下,下
 / 10,10,15",,-7,+9,+9,,"CS
しゃがみ帰着"
"トロッカ･エ･ピィアオ～バイア～逆立ち
【】
下下,下,特殊
 / 10,10,15",,-9,+7,+7,,CS
"トロッカ･エ･ピィアオ～コンビナソ･バイア
【】
下下,下,下
 / 10,10,15,15",,-14,+10S,+10S,,"ScCSJS
3段目カウンターから連続ヒット"
"トロッカ･エ･ピィアオ～コンビナソ･バイア～逆立ち
【】
下下,下,下,特殊
 / 10,10,15,15",,-25,-1,-1,,"ScCSJS
3段目カウンターから連続ヒット"
"トロッカ･エ･ピィアオ～バイア～サベサダス
【】
下下,下,中
 / 10,10,15,11",,-14,+2,+4,,"CS
3段目カウンターから連続ヒット"
"トロッカ･エ･ピィアオ～バイア～サベサダスアベリャ
【】
下下,下,中,中
 / 10,10,15,11,12",,-14,D,D,,"CS
4段目から連続ヒット"
"トロッカ･エ･ピィアオ～ドゥプロ
【】
下下,中
 / 10,10,18",,-17,+2S,D※,,"CSJS
判定持続4Fまで確認
S2変更：(Ver.2.10)特定条件で2段目ダメージが高くなるのを修正"
"トロッカ･エ･ピィアオ～ドゥプロ～座り
【】
下下,中
 / 10,10,18",,-7,+12S,D※,,"CSJS
判定持続4Fまで確認"
"ミドルキック

中
 / 12",12F,-9,±0,±0,40,
"レヴェルサオ
【】
中
 / 16",19F,-27,-16,-16,,発生はコマンド入力開始からの値
"レヴェルサオ･ラテラオ･トロッカ～座り
【】
中,中,特殊
 / 16,17",,-5,+6,D,,CSJS
"レヴェルサオ･ラテラオ･トロッカ～キャンセル逆立ち
【】
中,特殊
 / 16",,,,,,
"レヴェルサオ･ラテラオ･トロッカ～キャンセル座り
【】
中,特殊
 / 16",,,,,,
"レヴェルサオ･ジラトリャ
【】
中中,中
 / 16,28",,-2,D,D,,"JS
判定持続1Fまで確認"
"コンビナソ･ウーニャ

上上
 / 12,15",12F,±0,+6,+6,,
"ウーニャ～ビリバ
【】
上,中
 / 12,17",,-23,浮,浮,,1段目カウンターから連続ヒット
"マカコ･デ･ラド

中
 / 20",36F,-9,D※,D※,,"CS4FJS21F
判定持続3Fまで確認"
"マカコ･デ･ラド～キャンセル逆立ち

特殊
 / ",,,,,,CS4FJS21F
"マカコ･デ･ラド～キャンセルエスパーダ～逆立ち

中,特殊
 / 15",35F,+1,+12,+12,,CS4FJS21F
"コンビナソ･フラコン(1)

上
 / 11",12F,-9,+2,+2,,
"コンビナソ･フラコン(2)

上,上
 / 11,11",,-9,+2,+2,,1段目から連続ヒット
"コンビナソ･フラコン

上,上,中
 / 11,11,21",,-14,D※,D＊,,"Sc
1 or 2段目カウンターから連続ヒット
判定持続1Fまで確認
S2変更：ガードバック軽減
カウンターできりもみダウン→スクリューダウン"
"エスパーダ～逆立ち

中,特殊
 / 15",18F,-1,+10,+10,,CS4F
"アウ･バチゥド

中
 / 10",23F,-23,-12,-12,,"JS16F
判定持続1Fまで確認"
"アウ･バチゥド～逆立ち

中,特殊
 / 10",,+1,+12,+12,,
"アウー･ジ･ソル(2)

中,中
 / 10,17",,-11,±0S,±0S,,"JS
1段目カウンターから連続ヒット
判定持続2Fまで確認"
"アウー･ジ･ソル

中,中,中中
 / 10,17,7,21",,-14,D※,D※,,"JS
2段目カウンターから連続ヒット"
"アウ･バチゥド～トロッカ･エ･ピィアオ

中,下下,特殊
 / 10,10,10",,-24,D※,D※,,"CSJS
1段目カウンターから連続ヒット"
"ヘヴェルサォン

中中
 / 14,16",17F,-4,D,D,,"JS9F
判定持続1Fまで確認
2段目のみヒットは叩きつけダウン"
"マゥン･エスケルダ

中
 / 10",13F,-2,+6,+6,34,
"マゥン･エスケルダ～逆立ち

中,特殊
 / 10",,-10,+2,+2,,
"コンビナソ･マゥン

中,上
 / 10,8",,-4,+8,+9,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予10F"
"コトヴェラダ

中
 / 15",15F,-9,D※,浮,43,
"ガファンヨト～逆立ち

中,特殊
 / 15",15F,-11,+1S,+1S,,"ヒットで強制しゃがみ
判定持続3F"
"ガファンヨト～座り

中,特殊
 / 15",,-11,-1S,-1S,,ヒットで強制しゃがみ
"シャパ･バイシャ

下
 / 17",18F,-14,-1,D※,,
