技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"ニードルジャブ

上
 / 7",10F,+1,+8,+8,24,C
"ダブルニードル

上,上
 / 7,7",,-3,+4,+4,,"C
カウンターから連続ヒット"
"ワンツースラップ

上,上
 / 7,10",,-1,+5,+5,,1段目から連続ヒット
"ワンツームーンライズ

上,上,中
 / 7,10,20",,-22,浮,浮,,2段目カウンターから連続ヒット
"ワンツーアークキック

上,上,上
 / 7,10,20",,-4,D※,D※,,"Sc
2段目カウンターから連続ヒット
S2変更：2段目ノーマルヒットから3段目をしゃがめるように修正"
"バイナリースター(1)

上
 / 9",14F,-3,+8,+8,,S2変更：ヒットバック軽減
"バイナリースター

上,中
 / 9,15",,-12,+2,+2,,"C
1段目から連続ヒット"
"サイドハイキック

上
 / 12",13F,-8,+8,+8,,
"10連コンボ(2)

上,上
 / 12,10",,-12,+4,+4,,
"アークキック

上
 / 21",13F,-5,D※,D＊,42,HSc
"メテオバースト

中
 / 26",13F,-17,D,D,,"姿勢潜り
判定持続1F
S2変更：ダメージ20→26
ガード硬直-20F→-17F
全体硬直3F軽減"
"シャドウリング

下
 / 20",33F,-27,D※,D※,,CS23FJS9F
"フィアーススティング

中
 / 17",18F,-9,±0,+25G,,"S2変更：ガード硬直-11F→-9F
ホーミング性能強化"
"ターンブレイク

中
 / 21",25F,-13,D※,D※,,HPw8F
"ステップインアッパー

中
 / 12",13F,-3,+3,+3,35,
"ムーンライト

中,中
 / 12,17",,-13,-2,-2,,1段目から連続ヒット
"デイライト

中,上
 / 12,14",,-9,+2,+2,,1段目から連続ヒット
"ボアクロウ

中
 / 10",16F,-9,+2,+2,,
"ボアクロウ～エミッションシュート

中,中
 / 10,10",,-18,浮,浮,,"JS
1段目から連続ヒット"
"アストラルショット

中
 / 24",25F,-8,D,D,,HJS9F
"ミドルキック

中
 / 16",12F,-8,+3,+3,39,
"シットジャブ

特中
 / 5",10F,-5,+6,+6,31,"CS4FC
しゃがみ帰着
技後、入力で立ち帰着
側面・背面ヒット時は+3F
S2変更：側面・背面ヒット+6F→+3F
相手を押す力を弱くしてヒットしやすくした"
"シットクロウ

特中
 / 8",12F,-7,+4,+4,,"CS4F
しゃがみ帰着"
"スカーレットスイープ

下
 / 7(10)",15F,-16,-5,-5,48,"CS4FC
ダメージ()内はクリーンヒット時
しゃがみ帰着"
"ホライゾンリング

下
 / 17",20F,-27,+5S,D※,,"CS6F
しゃがみ帰着
S2変更：ダメージ20→17
ノーマルヒット+3SF→+5SF"
"エンドレススリープ

特殊
 / -",,,,,,足向け仰向けダウン
"デスインパクト

中段ガード不能
 / 30",51F,D,D※,D※,,JS28F
"ミーティアライト(1)

中
 / 13",14F,-8,+3,+3,,"S2変更：ヒット±0F→+3F
ホーミング性能低下"
"ミーティアライト(2)

中,中
 / 13,13",,-13,浮,浮,,"JS
1段目カウンターから連続ヒット
S2変更：ホーミング性能低下"
"ミーティアライト

中,中,中
 / 13,13,23",,-13S,D※,D※,,"JS
ガードで強制しゃがみ
S2変更：ノーマルヒット-1SF→叩きつけうつ伏せダウン（回転）"
"コンダクトニー(1)

上
 / 10",11F,-4,+2,+2,,
"コンダクトニー

上,中
 / 10,15",,-9,+3,D※,,1段目から連続ヒット
"ダストテイル(1)

上
 / 12",16F,-9,+2,D,,S2変更：ダメージ14→12
"ダストテイル

上,上
 / 12,20",,-4,+15K,+15K,,"Sc
1段目から連続ヒット
ディレイ可
ヒット確認猶予10F
S2変更：ガード硬直-7F→-4F
ヒット+12KF→+15KF"
"イオンテイル

上,中
 / 12,20",,-14,D※,D※,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予7F
S2変更：側面ヒットの挙動を変更
ダウンヒットで鐘楼やられ
技が出るタイミングを1F早くした"
"フレアニー

中
 / 12",15F,-14,-2,-2,,C
"バーストクロウ

上中
 / 5,20",27F,-13S,+4S,+4S,,"ガード or ヒットで強制しゃがみ
S2変更：1段目の判定持続1F延長
ガード硬直-18SF→-13SF
ヒットでダウン→+4SF
空中ヒットで受身不可叩きつけに変更"
