技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"天破打ち
ﾖﾐ

上
 / 7",10F,+1,+8,+8,,C
"天破打ち～MAXモード発動
ﾖﾐ

上,特殊
 / 7",,-2,+5,+5,,"1ゲージを消費
空振り時は不可"
"天破人中穿(2)
ﾖﾐ

上,上
 / 7,7",,-1,+6,+6,,1段目から連続ヒット
"天破人中穿
ﾖﾐ

上,上,上
 / 7,7,12",,-12,+7,+7,,1段目から連続ヒット
"蹂躙二連
ﾖﾐ

上,中
 / 7,10",,-7,+4,+4,,1段目から連続ヒット
"蹂躙乱れ突き(3)
ﾖﾐ

上,中,中
 / 7,10,15",,-19,-8,-8,,"2段目カウンターから連続ヒット
ディレイ幅8F
カウンター確認猶予8F"
"蹂躙乱れ突き
ﾖﾐ

上,中,中,上
 / 7,10,15,20",,-15,D,D,,"3段目から連続ヒット
超必殺技キャンセル可
ガード時、相手ダメージ1
S2変更：ダメージ15→20"
"蹂躙二連～雷光回し蹴り
ﾖﾐ

上,中,上
 / 7,10,15",,+1,+20K,+20K,,2段目カウンターから連続ヒット
"蹂躙二連～雷光回し蹴り～MAXモード発動
ﾖﾐ

上,中,上,特殊
 / 7,10,15",,+5,+24K,+24K,,"1ゲージを消費
空振り時は不可"
"不破
ﾖﾐ

特中
 / 13",15F,-13,-4,-4,,"C
S2変更：ダメージ15→13"
"不破～MAXモード発動
ﾖﾐ

特中,特殊
 / 15",,+2,+11,+11,,"1ゲージを消費
空振り時は不可"
"三日月二段蹴り(1)
ﾖﾐ

上
 / 10",16F,-8,±0,±0,,
"三日月二段蹴り
ﾖﾐ

上,中
 / 10,10",,-13,±0,D※,,"1段目から連続ヒット
ディレイ幅14F
ヒット確認猶予9F
S2変更：ガード硬直-14F→-13F
ノーマルヒット-1F→±0F"
"虎斬廻蹴り
ﾖﾐ

上
 / 17",16F,-3,D※,D＊,43,HSc
"活殺圧拳：水月打ち
ﾖﾐ

中
 / 20",14F,-14,D※,D※,48,"S2変更：ダメージ19→20
ガード硬直-9F→-14F
ノーマルヒット+4F→頭叩きつけダウン
空中ヒットの挙動を変更
全体硬直41F→48F"
"仁王崩し
ﾖﾐ

中上
 / 5,10",20F,-14,D※,D※,,
"仁王崩し～MAXモード発動
ﾖﾐ

中上,特殊
 / 5,10",,+2,D※,D※,,"1ゲージを消費
空振り時は不可"
"仁王慟哭
ﾖﾐ
ヒット時
中上,上
 / 5,10,15",,-9,D,D,,"入力タイミングは2段目ヒット時
2段目空振り時は派生不可"
"絶倒足刀蹴り
ﾖﾐ

中
 / 21",19F,-13,D※,D＊,,S2変更：ガード硬直-14F→-13F
"飛燕失脚
ﾖﾐ

中
 / 15",24F,-9,D※,D※,52,"JS10F
飛燕失脚～疾風拳に派生可能
判定持続1F（前にはなく右方向）まで確認
S2変更：全体硬直48F→52F
ガード硬直-5F→-9F
ヒット時のギース側硬直軽減"
"村雨雷槍(1)
ﾖﾐ

中
 / 10",13F,-1,+7,+7,,もしかして村雨打ち？
"村雨雷槍
ﾖﾐ

中,上
 / 10,8",,-2,+4,+4,,1段目から連続ヒット
"村雨絶倒
ﾖﾐ

中,中
 / 10,21",,-13,D※,D＊,,"1段目カウンターから連続ヒット
S2変更：ガード硬直-14F→-13F"
"襖絵破り
ﾖﾐ

中
 / 17",18F,-5,+14K,D※,47,HSc
"血海蹴り
ﾖﾐ

下
 / 11",15F,-13,-2,-2,,
"血海章門二段蹴り
ﾖﾐ

下,中
 / 11,14",,-13,-2,D,,1段目カウンターから連続ヒット
"血海蹴り～不動活殺裏拳
ﾖﾐ
【】
下,中
 / 11,25",,+2,D※,D※,,"WB
S2変更：2段目の発生が早くなった
ガード硬直-3F→+2F"
"血海蹴り～雷光回し蹴り
ﾖﾐ
【】
下,上
 / 11,15",,+1,+20K,+20K,,
"血海蹴り～雷光回し蹴り～MAXモード発動
ﾖﾐ
【】
下,上,特殊
 / 11,15",,+5,+24K,+24K,,"1ゲージを消費
空振り時は不可"
"章門蹴り
ﾖﾐ

中
 / 15",14F,-7,+4,+4,,
"夜行突き
ﾖﾐ
 or しゃがみ中
特中
 / 5",10F,-5,+6,+6,,"CS4FC
しゃがみ帰着
技後入力で立ち帰着"
"夜行突き～MAXモード発動
ﾖﾐ
 or しゃがみ中
特中,特殊
 / 5",,-1,+10G,+10,,"1ゲージを消費
空振り時は不可"
"雲水割り
ﾖﾐ
 or しゃがみ中
下
 / 13",14F,-14,-3,-3,,"CS6F
しゃがみ帰着"
"虎骨払い
ﾖﾐ
 or しゃがみ中
下
 / 12",15F,-12,-2,-2,,CS6F
"虎骨払い～夜行突き
ﾖﾐ

下,特中
 / 12,5",,-9,+2,+2,,"CSC
1段目カウンターから連続ヒット"
"虎骨払い～夜行突き～MAXモード発動
ﾖﾐ

下,特中,特殊
 / 12,5",,-1,+10G,+10,,"CS
1ゲージを消費
空振り時は不可"
"草なびき蹴り
ﾖﾐ
 or しゃがみ中
下
 / 15",17F,-31,-6,D※,,"CS6FC
S2変更：ダメージ14→15
(Ver.2.20)しゃがみ、背向けのダメージをと統一"
"草なびき蹴り～MAXモード発動
ﾖﾐ
 or しゃがみ中
下,特殊
 / 15",,-,+15G,D※,,"CS6F
1ゲージを消費
空振り時＆ガード時は不可"
"降天爆砕
ﾖﾐ

下
 / 20",24F,-18,D※,D※,,CS6F
"虎撲連破突き(1)
ﾖﾐ

上
 / 10",12F,-7,+4,+4,,
"虎撲連破突き
ﾖﾐ

上,中
 / 10,18",,-7,+4,D※,,"1段目から連続ヒット
S2変更：ダメージ17→18"
"不動活殺裏拳
ﾖﾐ

中
 / 23",24F,+2,D※,D※,,"WB
S2変更：ダメージ25→23
発生26F→24F
ガード硬直-3F→+2F"
"稲妻蹴り
ﾖﾐ

中
 / 11",14F,-12,-1,-1,,S2変更：(Ver.2.30)硬直を3F増やした（ガード硬直-9F→-12F、ヒット+2F→-1F）。
"稲妻蹴り～天破り
ﾖﾐ

中,中
 / 11,15",,-15,D※,D※,,"1段目から連続ヒット
ディレイ幅8F
ヒット確認猶予8F
S2変更：(Ver.2.30)入力タイミングによって意図していないホーミング性能になっていたのを修正。"
"稲妻蹴り～天破り～MAXモード発動
ﾖﾐ

中,中,特殊
 / 11,15",,+2,D※,D※,,"1ゲージを消費
空振り時は不可"
"伏兎：秘中蹴り
ﾖﾐ

下
 / 10",19F,-13,-4,-2,,
"伏兎：秘中蹴り～龍頭掛け蹴り
ﾖﾐ

下,上
 / 10,17",,-3,+16K,D※,,"Sc
1段目カウンターから連続ヒット"
