技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ

上
 / 7",10F,+1,+8,+8,27,
"アイアンブレイク

上,上
 / 7,24",,-17,D※,D※,,"1段目から連続ヒット
S2変更：ガード硬直-14F→-17F"
"クロスストレート

上
 / 10",10F,-5,+6,+6,34,S2変更：ガードバック軽減
"ダブルギムレット

上,上
 / 10,12",,-7,+4,+4,,"1段目から連続ヒット
S2変更：2段目発生が早くなり、1段目ガードからしゃがめなくなった
ガード硬直-5F→-7F
ヒット+6F→+4F"
"ダブルギムレット～ＳＧ

上,上,特殊
 / 10,12",,-4,+7,+7,,"CS
S2変更：しゃがみステータス"
"レンチキックL

中
 / 17",14F,-9,+2,+2,47,"S2変更：ダメージ20→17
カウンターでダウン→+2F"
"レンチキックR

中
 / 20",16F,-9,+2,D,49,S2変更：ダメージ23→20
"マッドディザスター(1)

上
 / 20",16F,-9,+7,D※,49,"判定持続1Fまで確認
S2変更：ヒットバック軽減"
"マッドディザスター(2)

上,上
 / 20,17",,-3,+5,+5,,ディレイ可
"マッドディザスター

上,上,中
 / 20,17,25",,-12,D※,D※,,"ディレイ可
S2変更：ダメージ24→25
ディレイ幅延長"
"ダブルモンスターフック

上,上
 / 20,20",,-9,D※,D※,,"Sc
ディレイ可
S2変更：ダメージ17→20"
"モンスターショベル

上,中
 / 20,17",,-13S,+2S,+2S,,"ガード or ノーマルヒットで強制しゃがみ
ディレイ可"
"モンスターショベル～ＳＧ

上,中,特殊
 / 20,17",,-2S,+13S,+13S,,"CS
ガードで強制しゃがみ
S2変更：しゃがみステータス"
"ニーリフト

中
 / 17",23F,-9,+9,+9,,"S2変更：ガード硬直-13F→-9F
ヒット+5F→+9F
判定持続1F延長"
"クレイジーナックルコンボ

中,中
 / 17,20",,-13,D※,D※,,"1段目から連続ヒット
ホールドのヒット確認猶予34F
S2変更：ヒット確認猶予が4F延長？
(Ver.2.20)ヒットバック軽減"
