技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"尖撃
ﾖﾐ

上
 / 7",10F,+1,+8,+8,,C
"尖撃～セービング派生
ﾖﾐ

上,特殊
 / 7",,+15,+22,+22,,"スーパーコンボゲージ１消費
セビキャン理論最速はコスト18F
（ガード-3F/ヒット+4F）"
"鬼門連弾
ﾖﾐ

上,上
 / 7,7",,-3,+4,+4,,"C
1段目カウンターから連続ヒット"
"鬼門連弾～セービング派生
ﾖﾐ

上,上,特殊
 / 7,7",,+15,+22,+22,,"スーパーコンボゲージ１消費
セビキャン理論最速はコスト18F
（ガード-3F/ヒット+4F）"
"鬼門連突
ﾖﾐ

上,中
 / 7,20",,-17,D,D,,1段目から連続ヒット
"六腑潰し
ﾖﾐ

特中
 / 15",15F,-9,±0,±0,,C
"六腑潰し～セービング派生
ﾖﾐ

特中,特殊
 / 15",,+19,+28,+28,,"スーパーコンボゲージ１消費
セビキャン理論最速はコスト18F
（ガード+1F/ヒット+10F）"
"サイドハイキック

上
 / 14",15F,-8,+3,+3,,
"ハイキック

上
 / 12",14F,-13,+2,+2,,
"鬼哭連斬
ﾖﾐ

上,上
 / 12,17",,-5,+19K,D※,,"HSc
1段目から連続ヒット"
"竜刃脚
ﾖﾐ

中
 / 16",17F,-9,+1,+1,,
"鬼首狩り
ﾖﾐ

上
 / 20",16F,-9,D※,D＊,45,"HSc
判定持続1Fまで確認
持続になりやすい"
"頭蓋破殺
ﾖﾐ

中中
 / 5,15",20F,-8S,+5S,+5S,,ガード or ヒットで強制しゃがみ
"飛旋脚
ﾖﾐ

中
 / 20",22F,-9,+2,+2,,HJS9F
"獄門掌(1)

中
 / 10",13F,-4,+7,+7,,
"獄門掌
ﾖﾐ

中,上
 / 10,7",,-3,+6,+6,,1段目から連続ヒット
"頭蓋豪破殺
ﾖﾐ

中,中中
 / 10,5,15",,-13S,+5S,+5S,,"1段目から連続ヒット
ガード or ヒットで強制しゃがみ"
"怒髪天衝(1)
ﾖﾐ

中
 / 10",16F,-7,+3,+3,,
"怒髪天衝
ﾖﾐ

中,中
 / 10,10",,-18,浮,浮,,"1段目から連続ヒット
ディレイ幅5F
ヒット確認猶予5F"
"獄殺轟天蹴(2)
ﾖﾐ

中,中
 / 10,13",,-11,±0,±0,,1段目から連続ヒット
"獄殺轟天蹴
ﾖﾐ

中,中,中
 / 10,13,23",,-17,D,D,,"2段目カウンターから連続ヒット
ディレイ幅13F
カウンター確認猶予11F"
"横蹴り
ﾖﾐ

中
 / 14",12F,-9,+1,+1,,
"鬼突脚
ﾖﾐ

中
 / 24",19F,-16,D※,D※,,
"伏尖撃
ﾖﾐ
 or  or しゃがみ中
特中
 / 5",10F,-5,+6,+6,,"CS4FC
しゃがみ帰着
技後入力で立ち帰着"
"伏尖撃～セービング派生
ﾖﾐ
 or  or しゃがみ中
特中,特殊
 / 5",,+16,+27,+27,,"CS4F
スーパーコンボゲージ１消費
セビキャン理論最速はコスト18F
（ガード-2F/ヒット+9F）"
"伏尖掌底
ﾖﾐ
 or  or しゃがみ中
特中,特中
 / 5,8",,-13,-2,-2,,"CSC
しゃがみ帰着
1段目カウンターから連続ヒット"
"伏尖掌底～セービング派生
ﾖﾐ
 or  or しゃがみ中
特中,特中,特殊
 / 5,8",,+16,+27,+27,,"CS
スーパーコンボゲージ１消費
セビキャン理論最速はコスト18F
（ガード-2F/ヒット+9F）"
"掌底
ﾖﾐ
 or  or しゃがみ中
特中
 / 6",12F,-4,+7,+7,,CS4FC
"掌底～セービング派生
ﾖﾐ
 or  or しゃがみ中
特中,特殊
 / 6",,+16,+27,+27,,"スーパーコンボゲージ１消費
セビキャン理論最速はコスト18F
（ガード-2F/ヒット+9F）"
"くるぶしキック
 or  or しゃがみ中
下
 / 7(10)",15F,-11,-2,-2,43,"CS6FC
ダメージ()内はクリーンヒット時
必殺技キャンセル可能"
"くるぶしキック～セービング派生
 or  or しゃがみ中
下,特殊
 / 7(10)",,+17,+26,+26,,"スーパーコンボゲージ１消費
セビキャン理論最速はコスト18F
（ガード-1F/ヒット+8F）"
"足払い
ﾖﾐ
 or  or しゃがみ中
下
 / 20",17F,-27,D※,D※,,CS6F
"蓋壊拳
ﾖﾐ

上
 / 17",14F,-14,D※,D※,46,C
"蓋壊拳～セービング派生
ﾖﾐ

上,特殊
 / 17",,+19,D※,D※,,"スーパーコンボゲージ１消費
セビキャン理論最速はコスト18F
（ガード+1F）"
"断裂刀
ﾖﾐ

中
 / 21",23F,-9,+8,D※,,"H
S2変更：ホーミングアタック"
"腿斬脚
ﾖﾐ

下
 / 15",20F,-13,+1,+1,,
