技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ

上
 / 7",10F,+1,+8,+8,,S2変更：判定下方強化
"閃光烈拳(2)
ﾖﾐ

上,上
 / 7,6",,-1,+8,+8,,1段目から連続ヒット
"閃光烈拳
ﾖﾐ

上,上,中
 / 7,6,12",,-17,D※,D※,,1段目から連続ヒット
"ワンツーパンチ

上,上
 / 7,8",,-1,+7,+7,,1段目から連続ヒット
"鬼哭連拳
ﾖﾐ

上,上,上
 / 7,8,12",,-12,+4,+4,,1段目から連続ヒット
"鬼哭剛掌破
ﾖﾐ
【】
上,上,中
 / 7,8,25",,-6,D※,D※,,
"鬼哭剛掌破･否
ﾖﾐ
【】 or 
上,上,特殊
 / 7,8",,-16,-8,-8,,1段目から連続ヒット
"鬼哭連蹴
ﾖﾐ

上,上,上
 / 7,8,21",,-9,D※,D＊,,2段目カウンターから連続ヒット
"多聞殺
ﾖﾐ

上,中
 / 7,21",,-2,+8,+8,,"1段目カウンターから連続ヒット
ディレイ可"
"多聞殺･壱
ﾖﾐ

上,中,中
 / 7,21,20",,-15,浮※,浮※,,"2段目カウンターから連続ヒット
S2変更：ガード硬直-27F→-15F
平八側のヒット硬直軽減
ダウンやられ挙動を変更
判定下方強化"
"多聞殺･弐
ﾖﾐ

上,中,中
 / 7,21,30",,+5,D※,D※,,JS
"クロスストレート
ﾖﾐ

上
 / 10",10F,±0,+9,+9,,
"裏拳二段
ﾖﾐ

上,上
 / 10,18",,-13,-2,-2,,1段目から連続ヒット
"弐連剛掌破
ﾖﾐ
【】
上,中
 / 10,25",,-6,D※,D※,,
"弐連剛掌破･否
ﾖﾐ
【】 or 
上,特殊
 / 10",,-14,-5,-5,,
"サイドハイキック

上
 / 15",14F,-10,+1,+1,,
"門前払い
ﾖﾐ

上,中
 / 15,20",,-14,+3,D※,,1段目から連続ヒット
"バックスピンキック

上
 / 21",16F,-9,D※,D＊,49,
"破砕蹴
ﾖﾐ
【】 or 【】 or 【立ち途中】
中
 / 25",36F,-10,D※,D※,,"JS9F
発生の値はコマンド完成から
入力すれば発生は入力から
技後平八側ダウン
空振り時で自傷ダメージ5
発生35Fだが打点が高いため不成立"
"剛掌破
ﾖﾐ

中
 / 25",12F,-12,D※,D※,,S2変更：判定下方強化
"天枢破断(1)
ﾖﾐ

上
 / 13",15F,-9,+2,+2,,
"天枢破断
ﾖﾐ

上,中
 / 13,20",,-3,D※,D＊,,"1段目から連続ヒット
ディレイ幅15F
ヒット確認猶予12F"
"激剛掌破
ﾖﾐ
【】
中
 / 25",21F,-6,D※,D※,,"発生の値はコマンド入力開始から
入力が早すぎると発生14Fの剛掌破（）"
"激剛掌破･否
ﾖﾐ
【】 or 
特殊
 / ",,,,,,
"五臓血塊
ﾖﾐ

中
 / 20",18F,-3,D※,D＊,45,
"右踵落とし
ﾖﾐ

中
 / 20",19F,+4S,+7S,D※,42,"ノーマルヒットで強制しゃがみ
しゃがみノーマルヒット+13F
判定持続1F"
"ぱちき

上
 / 15",12F,-14,D※,D※,,S2変更：平八側のヒット硬直軽減
"ステップインアッパー

中
 / 10",13F,-1,+9,+9,,
"無双掌波
ﾖﾐ

中,上
 / 10,8",,-2,+4,+4,,1段目から連続ヒット
"無双鉄槌
ﾖﾐ

中,中
 / 10,24",,-13S,D※,D※,,"ガードで強制しゃがみ
1段目から連続ヒット
ディレイ幅17F
ヒット確認猶予8F
S2変更：ダメージ21→24"
"ショートアッパー

中
 / 14",15F,-7,+4,浮,41,
"サイドキック

中
 / 17",17F,-7,+4,+4,43,
"フロントキック

中
 / 15",12F,-6,+5,+5,37,
