技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"ジャブ

上
 / 11",13F,-2,+6,+9,34,S2変更：ダメージ14→11
"ジャブ～スレッジハマー

上,中
 / 11,25",,-14S,D※,D※,,"ガードで強制しゃがみ
1段目から連続ヒット
ディレイ幅9F
ヒット確認猶予9F
S2変更：1段目カウンターから連続ヒット→ノーマルから連続ヒット
ダメージ28→25
ガード硬直-12SF→-14SF
ヒットで叩きつけダウン→うつ伏せダウン"
"ジャブ～スタンフック

上,上
 / 11,24",,-2,D※,D※,,"Sc
1段目カウンターから連続ヒット
ディレイ幅9F
カウンター確認猶予9F"
"ストレート

上
 / 10",11F,+1,+9,+9,,"Sc
S2変更：ヒットバック軽減"
"ストレート～エルボー

上,中
 / 10,12",,-2,+3,+3,,1段目から連続ヒット
"ストレート～エルボー～アッパー

上,中,中
 / 10,12,20",,-12,浮,浮,,しゃがみ帰着
"ジャイアントフロントキック

上
 / 30",18F,-13,D,D,,
"ハイキック

上
 / 20",16F,-4,+7,浮,39,
"ダブルトルネード

中上
 / 15,27",15F,-9,D※,D※,,Sc
"ダイブボマー(1段階)
 or 床破壊時
中段ガード不能
 / 40",94F,D,D※,D※,,JS37F
"ダイブボマー(2段階)

中段ガード不能
 / 40",124F,D,D※,D※,,
"ダイブボマー(3段階)

中段ガード不能
 / 60",154F,D,D※,D※,,
"ダイブボマー(4段階)

中段ガード不能
 / 80",184F,D,D※,D※,,
"ダイブボマー(5段階)

中段ガード不能
 / 100",214F,D,D※,D※,,
"ピボットガン･ブラスター(1)

中
 / 13",14F,-6,+5,+5,,
"ピボットガン･ブラスター(2)

中,上
 / 13,13",,-6,+5,+5,,1段目から連続ヒット
"ピボットガン･ブラスター

中,上,中
 / 13,13,20",,+6,D※,D※,,
"ピボットガン･ブラスター(ホールド)
ホールド
中,上,中
 / 13,13,50",,-11,D※,D※,,
"ピリオドシューター

上
 / 17",10F,-12,+5,D※,43,
"ダイイングマシン(1)

中
 / 17",20F,-7,+7,+7,,"S2変更：ガード硬直-10F→-7F
カウンターで崩れダウン（よろけ）→+7F"
"ダイイングマシン

中,中
 / 17,22",,-9,D※,浮※,,"1段目カウンターから連続ヒット
ディレイ幅16F
カウンター確認猶予10F
S2変更：ガード硬直-13SF→-9F
ノーマルヒットで叩きつけ浮き→うつ伏せダウン"
"ハイキック

上
 / 23",17F,-4,+7,浮,40,
"ダークネスカッター
【】
上段ガード不能
 / 80",65F,D,D※,D※,,"発生の値はコマンド完成から
硬直からの最速発生は66F
S2変更：中段ガード不能→上段ガード不能"
"サドンエルボー
【】
中
 / 30",65F,+8,D※,D※,,
"デュアルピリオドシューター

中
 / 22",15F,-19,D※,D※,,
"アトミックショルダータックル
 or しゃがみ中
中
 / 28",21F,-12,D※,D※,,"CS6F
しゃがみ帰着
判定持続4Fまで確認
しゃがみから出した場合は1F目からしゃがみステータス"
"ステップインアッパー

中
 / 12",14F,-4,+3,+5,39,
"オーバークロック

中,中
 / 12,20",,-10,+9K,+9K,,"Sc
1段目カウンターから連続ヒット
ディレイ可
カウンター確認不可"
"オーバードライブ(2)

中,上
 / 12,10",,-12,-1A,-1A,,"1段目カウンターから連続ヒット
ディレイ可
カウンター確認不可"
"オーバードライブ(3)

中,上,上
 / 12,10,3",,-10,-2,-2,,2段目ヒット時は空中拾い
"オーバードライブ

中,上,上,上上
 / 12,10,3,3,20",,-18,D※,D※,,"3段目から連続ヒット
遠いと5段目が空振りすることがある"
