技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"直突き
ﾖﾐ
 or 
上
 / 7",10F,+1,+8,+8,,
"順突き
ﾖﾐ

上,上
 / 7,12",,-2,+3,+7,,1段目から連続ヒット
"順突き～内回し踵落とし
ﾖﾐ

上,上,中
 / 7,12,20",,±0,D※,D※,,2段目ガード時、発生10F以内で割り込み可能
"順突き～上段後ろ回し蹴り
ﾖﾐ

上,上,上
 / 7,12,30",,-4,D※,D※,,"Sc
2段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予7F"
"ニ連撃
ﾖﾐ

上,上
 / 7,10",,-6,+4,+4,,"1段目から連続ヒット
連続ガード"
"ニ連撃～前心
ﾖﾐ

上,上,特殊
 / 7,10",,-7,+3,+3,,前心（）に派生
"ニ連撃･潜
ﾖﾐ

上,上,特殊
 / 7,10",,-6,+4,+4,,
"風間流五連撃(3)
ﾖﾐ

上,上,中
 / 7,10,10",,-1,+4,+4,,2段目カウンターから連続ヒット
"風間流五連撃(4)
ﾖﾐ

上,上,中,中
 / 7,10,10,10",,-7,+7,+7,,3段目から連続ヒット
"風間流五連撃
ﾖﾐ

上,上,中,中,下
 / 7,10,10,10,10",,-13,+3,+3,,3段目から連続ヒット
"直突き～縦蹴り
ﾖﾐ
【】
上,中
 / 7,20",,+6,D※,D※,,
"直突き～縦蹴り～左足刀
ﾖﾐ
【】
上,中,中
 / 7,20,20",,-14,D,D,,ディレイ可
"直突き～左下段蹴り
ﾖﾐ

上,下
 / 7,7",,-12,-1,-1,,1段目から連続ヒット
"直突き～左下段蹴り～右下段蹴り
ﾖﾐ

上,下,下
 / 7,7,17",,-13,+3,D※,,2段目カウンターから連続ヒット
"正拳
ﾖﾐ

上
 / 9",10F,±0,+9,+9,,
"逆突き
ﾖﾐ

上,中
 / 9,9",,-3,+6,+6,,1段目から連続ヒット
"逆突き～中段前回し蹴り
ﾖﾐ

上,中,中
 / 9,9,18",,-9,+2,+2,,"2段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予9F"
"逆突き～下段前回し蹴り
ﾖﾐ
【】
上,中,下
 / 9,9,20",,-31,D※,D※,,2段目ガードから発生16F以内で割り込み可
"正拳～上段後ろ回し蹴り
ﾖﾐ

上,上
 / 9,20",,-9,D※,D※,,"Sc
1段目から連続ヒット"
"左前蹴り
ﾖﾐ

上
 / 19",14F,-7,+4,+4,,
"鬼神烈洸(2)
ﾖﾐ

上,上
 / 19,7",,-1,+7,+7,,1段目から連続ヒット
"鬼神烈洸(2)～前心
ﾖﾐ

上,上,特殊
 / 19,7",,+4,+12,+12,,"1段目から連続ヒット
S2変更：新技"
"鬼神烈洸
ﾖﾐ

上,上,下
 / 19,7,18",,-13,+3,D※,,"2段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予9F"
"右上段前回し蹴り
ﾖﾐ

上
 / 18",13F,-9,+16K,D※,40,"HSc
S2変更：カウンターで崩れダウン（正座）→崩れダウン（目潰し）"
"胴回し回転蹴り
ﾖﾐ
【】 or 【立ち途中】
中
 / 27",24F,-15,D※,D※,,"JS12F
先行入力不可
発生の値はコマンド完成から
硬直からの最速発生25F
判定持続6Fまで確認
判定発生23Fは判定が前にない"
"正中線乱れ突き
ﾖﾐ

中中上
 / 5,5,20",12F,-14,D,D,,
"風間流方円脚
ﾖﾐ

上,打投
 / 10(,24)",20F,-9,打投,打投,,"Pw8F
ダメージ()内は打撃投げ成立時
空中ヒットでも打撃投げ可"
"右肘打ち
ﾖﾐ

上
 / 12",16F,-5,+4,+4,,10連コンボ始動
