技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"通天砲(1)
ﾖﾐ

上
 / 7",10F,+1,+8,+8,,
"通天砲(2)
ﾖﾐ

上,中
 / 7,12",,-9,+2,+2S,,1段目から連続ヒット
"通天砲
ﾖﾐ

上,中,中
 / 7,12,20",,-14,D※,D※,,1 or 2段目カウンターから連続ヒット
"通天烈破
ﾖﾐ

上,中,中
 / 7,12,20",,-9,D,D※,,
"拗歩掌
ﾖﾐ

上,上
 / 7,8",,-1,+5,+5,,1段目から連続ヒット
"拗歩掌～転身歩
ﾖﾐ
 or 
上,上,特殊
 / 7,8",,+1,+7,+7,,
"拗歩掌～転身歩（派生なし）
ﾖﾐ
 or 
上,上,特殊
 / 7,8",,-9,-3,-3,,
"白猿散手(3)
ﾖﾐ

上,上,中
 / 7,8,10",,-13,+3,+3,,"2段目カウンターから連続ヒット
ディレイ可"
"白猿散手
ﾖﾐ

上,上,中,下
 / 7,8,10,20",,-14,D※,D※,,"3段目カウンターから連続ヒット
ディレイ幅8F
カウンター確認猶予8F"
"クロスストレート

上
 / 10",10F,-2,+7,+7,,
"背面取り
ﾖﾐ

上,特殊
 / 10",12F,-8,+5B,+5B,,"発生の値はコマンド入力開始から
正面ヒット時のみ派生
側面 or 背面ヒット+1F
S2変更：ジャスト入力は削除"
"双掌
ﾖﾐ
背面取り中
上
 / 20",,,+3B,+3B,,"背面取りから連続ヒット
S2変更：中段→上段"
"レフトサイドキック

上
 / 17",14F,-14,D,D,,技表にないため仮称
"迅脚
ﾖﾐ

上
 / 15",11F,-12,-3,浮,39,
"迅脚前掃腿
ﾖﾐ

上,下
 / 15,12",,-16,-2,-2,,"CS
しゃがみ帰着"
"迅脚前掃十字把
ﾖﾐ

上,下,中
 / 15,12,21",,-14,浮,浮,,2段目カウンターから連続ヒット
"迅脚前掃崩撃
ﾖﾐ
【】
上,下,中
 / 15,12,20",,-9,D,D※,,
"迅脚前掃連腿
ﾖﾐ

上,下,上
 / 15,12,23",,-6,D,D,,2段目カウンターから連続ヒット
"迅脚前掃扇腿
ﾖﾐ

上,下,下
 / 15,12,10",,-19,-8,-8,,"2段目カウンターから連続ヒット
しゃがみ帰着"
"撞掌(2)
ﾖﾐ
【】
下,上
 / 7,5",15F,-12,-4,+1,,"発生の値はコマンド完成から
硬直からの最速発生は16F
1段目カウンター～2段目空振り-1F"
"撞掌
ﾖﾐ
【】
下上,中
 / 7,5,21",,-16,D※,D※,,"2段目空振りまたは1段目カウンターから連続ヒット
S2変更：(Ver.2.30)3段目が特定タイミングで発生しなくなる現象を修正。"
"八門遁甲(1)
ﾖﾐ

中
 / 14",18F,-5,+1,+6,,
"八門遁甲(2)
ﾖﾐ

中,上
 / 14,12",,-12,-1,+4,,"1段目から連続ヒット
ディレイ可"
"八門遁甲
ﾖﾐ

中,上,中
 / 14,12,25",,-10,D,D※,,2段目カウンターから連続ヒット
"背転高蹴腿
ﾖﾐ

中,上,中
 / 14,12,20",,-20,D※,D※,,"2段目カウンターから連続ヒット
S2変更：新技"
"崩槌十字脚
ﾖﾐ

中,下
 / 12.21",18F,-26,D※,D＊,,1段目から連続ヒット
"崩槌十字脚～キャンセル
ﾖﾐ

中
 / 12",,-18,-7S,-7S,,"1段目ヒットから17F後のタイミングに入力で成立
しゃがみ帰着
S2変更：新技"
"猛虎連掌(1)
ﾖﾐ

上
 / 10",12F,-2,+7,+7,,
"猛虎連掌(1)～背面取り
ﾖﾐ

上,特殊
 / 10",,-8,+5B,+5B,,と同性能
"猛虎連掌
ﾖﾐ

上,上
 / 10,14",,-1,+5,+10,,1段目から連続ヒット
"猛虎連掌～瞬歩
ﾖﾐ

上,上,特殊
 / 10,14",,+14,+20G,+25,,S2変更：新技
"猛虎硬爬山
ﾖﾐ

上,上,中
 / 10,14,18",,-10,+2,D※,,"2段目カウンターから連続ヒット
ディレイ可"
"猛虎弾腿
ﾖﾐ

上,中
 / 10,16",,-8,+5,D,,"1段目から連続ヒット
S2変更：新技"
"崩脚天昇(1)
ﾖﾐ

中
 / 13",15F,-10,+3,+3,,S2変更：新技
"崩脚天昇
ﾖﾐ

中,中
 / 13,23",,-14,D※,D※,,"1段目から連続ヒット
S2変更：新技"
"貼山靠
ﾖﾐ

中
 / 25",18F,-14,D※,D※,,"WBPw8F
S2変更：新技"
"絶招通天砲
ﾖﾐ

中段ガード不能
 / 30",67F,浮,浮※,浮※,,でキャンセル可、全体硬直42F
"霞陰掌
ﾖﾐ

中
 / 13",14F,-5,+1,+1,,しゃがみヒットでへこみやられ（+14SF、やられ中は低姿勢の立ち状態）
"大纒
ﾖﾐ

中
 / 8",15F,-9,+2,+2,,S2変更：発生16F→15F
"大纒崩捶
ﾖﾐ

中,中
 / 8,12",,-18,浮※,浮※,,1段目から連続ヒット
"大纒～瞬歩
ﾖﾐ

中,特殊
 / 8",,+16,+27,+27,,S2変更：新技
"大纒上段脚
ﾖﾐ

中,上
 / 8,18",,-6,+5,+5,,1段目から連続ヒット
"膝弾
ﾖﾐ

中
 / 14",13F,-7,+4A,+4A,,S2変更：発生14F→13F
"膝弾鉄山靠
ﾖﾐ

中,中
 / 14,27",,-13,D,D※,,"1段目から連続ヒット（空中ヒット）
S2変更：新技"
"側腿
ﾖﾐ

中
 / 14",14F,-10,+1,+1,,
"紅蘭妃天脚(2)
ﾖﾐ

中,中
 / 14,10",,-13,-2,-2,,"1段目カウンターから連続ヒット
ディレイ可"
"紅蘭妃天脚
ﾖﾐ

中,中,上
 / 14,10,18",,-5,D※,D※,,"Sc
1 or 2段目カウンターから連続ヒット
ディレイ可
カウンター時は大幅なディレイでもつながる
S2変更：スクリュー誘発"
"紅蘭妃崩肘
ﾖﾐ

中,中,中
 / 14,10,25",,-14,D,D※,,"1 or 2段目カウンターから連続ヒット
ディレイ可
カウンター時は大幅なディレイでもつながる
S2変更：コマンド変更"
"紅蘭妃崩肘（入力）
ﾖﾐ

中,中,中
 / 14,10,30",,-14,D,D※,,"1 or 2段目カウンターから連続ヒット
ディレイ可
カウンター時は大幅なディレイでもつながる"
"飛身連脚
ﾖﾐ

特中,中
 / 10,20",17F,-7,+9,+9,,
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"膝弾連進(1)
ﾖﾐ

特中
 / 8",11F,-4,+7,+7,,"CS4F
しゃがみ帰着"
"膝弾連進
ﾖﾐ

特中,中
 / 8,13",,-10,+1,+1,,1段目カウンターから連続ヒット
"止寸腿
ﾖﾐ

下
 / 10",13F,-12,-1,+4S,,
"前掃腿
ﾖﾐ

下
 / 12",20F,-16,-2,-2,,"CS6F
しゃがみ帰着"
"前掃十字把
ﾖﾐ

下,中
 / 12,21",,-14,浮,浮,,1段目カウンターから連続ヒット
"前掃崩撃
ﾖﾐ
【】
下,中
 / 12,20",,-9,D,D※,,
"前掃連腿
ﾖﾐ

下,上
 / 12,23",,-6,D,D,,1段目カウンターから連続ヒット
"前掃扇腿
ﾖﾐ

下,下
 / 12,10",,-19,-8,-8,,"CS
1段目カウンターから連続ヒット
しゃがみ帰着"
"泰山双把
ﾖﾐ

中
 / 27",16F,-14,D※,D※,,
"崩捶
ﾖﾐ

中
 / 17",19F,-12,+5,D※,,CS6-15F
"撲虎砕拳(1)
ﾖﾐ

中
 / 13",15F,-10,+1,+1,,
"撲虎砕拳
ﾖﾐ

中,下
 / 13,7",,-11,-4,±0,,"1段目カウンターから連続ヒット
ディレイ幅10F"
"スイープキック

下
 / 12",16F,-17,-6,-6,,"CS4F
しゃがみ帰着"
"寸腿崩掌(1)
ﾖﾐ

下
 / 11",15F,-12,-1,+4,,S2変更：新技
"寸腿崩掌
ﾖﾐ

下,中
 / 11,21",,-10,D※,D※,,"1段目カウンターから連続ヒット
ディレイ幅7F
S2変更：新技"
"猛虎劈打
ﾖﾐ

中
 / 18",18F,-9,+5S,浮※,,
