技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ

上
 / 7",10F,+1,+8,+8,,
"ダブルスラップ

上,上
 / 7,10",,-2,+4,+4,,1段目から連続ヒット
"ダブルスラップ～ハリアー

上,上,特殊
 / 7,10",,-1,+5,+5,,S2変更：ハリアーの持続が延長
"ストレートウィング

上,上,中
 / 7,10,23",,-5,-1,D※,,"2段目カウンターから連続ヒット
S2変更：カウンター-1F→うつ伏せダウン"
"ストレートラッシュ

上,上,上
 / 7,10,17",,+7,+9,D※,,"2段目カウンターから連続ヒット
S2変更：カウンター+9F→崩れダウン（目潰し）"
"ストレートアルバトロス

上,上,中
 / 7,10,20",,±0S,D※,D※,,"JS
ガードで強制しゃがみ
S2変更：ガード硬直-7F→±0SF
ガードバック軽減"
"ストレートグース

上,上,中
 / 7,10,21",,-19,浮,浮,,
"スラップウィング

上,上
 / 7,10",,-3,+3,+3,,1段目から連続ヒット
"スラップニードル

上,下
 / 7,10",,-12,+1,+1,,1段目から連続ヒット
"スマックフェザー(1)

上
 / 10",12F,-3,+8,+8,,
"スマックフェザー

上,上
 / 10,20",,-12,+10K,+10K,,"Sc
1段目から連続ヒット"
"クレインキックコンボ(1)
 or 立ち途中
中
 / 9(12)",14F,-5,+6,+6,,"ダメージ()内は立ち途中入力時
S2変更：ダメージ14→9(12)
発生16F→14F
判定下方強化"
"クレインキックコンボ(2)

中,中
 / 9,4",,-9,+2,+2,,"1段目から連続ヒット
S2変更：ダメージ5→4"
"クレインキックコンボ(3)

中,中,中
 / 9,4,4",,-10,+1,+1,,"1段目から連続ヒット
S2変更：ダメージ5→4
ガード硬直-7F→-10F
ヒット+4F→+1F
ガード・ヒットバック増加"
"クレインキックコンボ(4)

中,中,中,上
 / 9,4,4,4",,-11,±0,±0,,"1段目から連続ヒット
S2変更：ダメージ5→4
ガード硬直-13F→-11F
ヒット-2F→±0F
ガード・ヒットバック軽減"
"クレインキックコンボ

中,中,中,上,中
 / 9,4,4,4,17",,-14,+1S,D※,,"1段目から連続ヒット
S2変更：ダメージ15→17
ガードバック軽減
ヒット-3F→ノーマル+1SF、カウンターでうつ伏せダウン"
"カナリオエッジ

中,上
 / 9,20",,-8,D※,D＊,,"Sc
1段目から連続ヒット
S2変更：ガード硬直-13F→-8F
ヒットでダウン→ノーマルできりもみダウン、カウンターでスクリューダウン
スクリュー誘発"
"ハイキック

上
 / 17",11F,-9,+8,浮,39,"S2変更：ガード硬直-7F→-9F
全体硬直37F→39F"
"ニンブルカッター(2)

上,中
 / 17,20",,-10,+4,+4,,S2変更：ガード硬直-7F→-10F
"ニンブルカッター(3)

上,中,上
 / 17,20,10",,-10,+4,+4,,"2段目から連続ヒット
S2変更：ガード硬直-5F→-10F
ヒット+1F→+4F"
"ニンブルカッター(3)～ハリアー

上,中,上,特殊
 / 17,20,10",,-1,+8,+8,,"S2変更：ハリアーの持続延長
ヒット+5F→+8F"
"ニンブルカッター(4)

上,中,上,上
 / 17,20,10,21",,-6,+5,+5,,
"ニンブルカッター

上,中,上,上,中
 / 17,20,10,21,25",,-9,D,D,,"4段目から連続ヒット
S2変更：ヒット-7F→ダウン"
"ヒールホック

中
 / 23",24F,±0S,+4S,D※,,"JS6F
ガード or ノーマルヒットで強制しゃがみ
判定持続1F
S2変更：ダメージ27→23
ガード硬直-9SF→±0SF
ヒットでうつ伏せダウン→ノーマルで+4SF、カウンターで叩きつけダウン"
"ドラミング

上
 / 20",23F,+1S,D※,D※,,"ガードで強制しゃがみ
S2変更：ガード硬直-12SF→+1SF"
"フレディングフット

中
 / 23",24F,-13,D※,D※,,"Pw8F
S2変更：ガード硬直-17F→-13F
ガードバック軽減
ヒット硬直軽減"
"ステップインアッパー

中
 / 13",13F,-1,+5,+5,,"S2変更：ガードバック軽減
ヒットバック増加"
"ペックスラップ

中,上
 / 13,8",,-5,+6,+6,,"1段目から連続ヒット
S2変更：1段目ガードから2段目がしゃがめるようになった
ガード硬直-7F→-5F
ヒット+4F→+6F"
