技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ

上
 / 7",10F,+1,+8,+8,,
"燐光烈拳(2)
ﾖﾐ

上,上
 / 7,6",,-3,+6,+6,,"1段目から連続ヒット
S2変更：ガード硬直-1F→-3F
ヒット+8F→+6F"
"燐光烈拳
ﾖﾐ

上,上,中
 / 7,6,12",,-17,D※,D※,,"1段目から連続ヒット
ディレイ幅11F
1段目からのヒット確認猶予26F"
"ワンツーパンチ

上,上
 / 7,8",,-3,+5,+5,42,"連続ヒット
S2変更：ガード硬直-1F→-3F
ヒット+7F→+5F
全体硬直40F→42F"
"鬼道連拳
ﾖﾐ

上,上,上
 / 7,8,12",,-12,+4,+4,,"1段目ヒットから連続ヒット
ヒット確認猶予14F
S2変更：ヒット+2F→+4F"
"クロスストレート

上
 / 10",12F,-3,+8,+8,,
"纏
ﾖﾐ

上,中
 / 10,10",,-5,+7,+7,,"1段目から連続ヒット
S2変更：2段目の出るタイミングを3F遅らせた"
"胸尖脚
ﾖﾐ

中
 / 14",15F,-8,+8,+8,,
"胸尖手甲
ﾖﾐ

中,中
 / 14,20",,-13,+8K,+8K,,"Sc
1段目から連続ヒット
S2変更：ガードバック軽減"
"胸尖落斧
ﾖﾐ

中,上
 / 14,17",,-1S,D※,D※,,"ガードで強制しゃがみ
1段目から連続ヒット"
"ハイキック

上
 / 18",11F,-9,+5,浮,39,
"鳴神
ﾖﾐ

中中(,特中)
 / 3,7(,20)",12F,-14,D,D,,"ヒット時、自動で虎が追撃
ダメージ()内は虎追撃成立時
S2変更：ダメージ8,8→3,7"
"虎捲き
ﾖﾐ

特中
 / 27",36F,-29,+3,+3,96,"虎を召喚して攻撃
ガードされた場合削りダメージ2
ヒットでダウンするが自動的に起き上がる
判定持続40F
データ上は発生35Fからだが判定がないため不成立
S2変更：ダメージ30→27
判定持続45F→40F
ガード硬直-51F→-29F
ヒット-19F→+3F
全体硬直118F→96F
ガードバック軽減"
"虎咬み
ﾖﾐ

特中
 / 10",22F,-38,D,D,90,"虎を召喚して攻撃
ガードされた場合削りダメージ2
判定持続30Fまで確認
発生21Fからだが判定が前にないため不成立
S2変更：ガード硬直-44F→-38F
全体硬直96F→90F
ガードバック軽減"
"人中突き
ﾖﾐ

上
 / 25",17F,-9,D※,D※,,Pw8F
"鳩尾脚
ﾖﾐ

中
 / 13",18F,-8,±0A,±0A,,"S2変更：ガード硬直-6F→-8F
ヒット+7F→±A0F"
"鳩尾脚～如意翔･魁
ﾖﾐ

中,特殊
 / 13",,+5,+13A,+13A,,"如意翔･魁中派生はさらに3F有利
S2変更：ヒット+18GF→+13AF"
"鬼門脚
ﾖﾐ

上
 / 20",16F,-8,+11K,+11K,,HSc
"重ね暁(1)
ﾖﾐ

中
 / 10",13F,-3,+6,+6,,判定持続1F
"重ね暁
ﾖﾐ

中,中
 / 10,21",,-13S,D※,D※,,"ガードで強制しゃがみ
1段目から連続ヒット
ディレイ可
ヒット確認猶予5F"
"猛虎風伯拳
ﾖﾐ

中(,特中)
 / 20(,14)",18F,-24,浮※,浮※,,"ヒット時、自動で虎が追撃
ダメージ()内は虎追撃成立時
姿勢潜り"
"踵突き
ﾖﾐ

中
 / 14",14F,-9,+2,+2,42,"S2変更：ガード硬直-11F→-9F
ヒット±0F→+2F
ヒットバック増大"
"フロントキック

中
 / 16",15F,-5,+6,+6,39,
"雷切金剛(1)
ﾖﾐ

中
 / 15",16F,-9,+2,+3S,,"カウンターで強制しゃがみ
＆やられ側先行入力不可"
"雷切金剛
ﾖﾐ

中,中,打撃投げ
 / 15,25(,20)",,-13,打投,打投,,"ダメージ()内は打撃投げ成立時の追加ダメージ
1段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予9F
S2変更：ガード硬直-17F→-13F
ガードバック軽減
正面ヒットで投げ移行"
"シットストレート

特中
 / 8",11F,-4,+7,+7,,"CS4F
しゃがみ帰着"
"シットスピンキック

下
 / 12",16F,-17,-3,-3,,"CS4F
しゃがみ帰着"
"ライトローキック

下
 / 10",16F,-13,-2,-2,,CS4F
"ローキック

下
 / 7",12F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"黒縄輪廻(1)
ﾖﾐ

下
 / 18",23F,-14,-3,+3S,,"CS6F
しゃがみ帰着
カウンターで強制しゃがみ
S2変更：発生20F→23F
ダメージ15→18
ガード時のお互いの硬直増大
ノーマルヒット±0F→-3F
カウンター+6SF→+3SF
ホーミング性能強化"
