技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ
 or 
上
 / 7",10F,+1,+8,+8,,
"閃光烈拳(2)
ﾖﾐ

上,上
 / 7,6",,-1,+8,+8,44,1段目から連続ヒット
"閃光烈拳
ﾖﾐ

上,上,中
 / 7,6,12",,-17,D※,D※,,"1段目から連続ヒット
ディレイ幅11F
1段目からヒット確認可"
"ワンツーパンチ

上,上
 / 7,8",,-1,+7,+7,40,1段目から連続ヒット
"鬼哭連拳
ﾖﾐ

上,上,上
 / 7,8,12",,-12,+4,+4,,"1段目から連続ヒット
ディレイ不可
1段目からヒット確認猶予12F"
"双殴腿砕き
ﾖﾐ

上,上,下
 / 7,8,18",,-14,-3,±0S,,"2段目カウンターから連続ヒット
ディレイ幅7F
カウンターで強制しゃがみ"
"双殴両刃
ﾖﾐ

上,上,下,中
 / 7,8,18,25",,-2,D,D※,,"3段目カウンターから連続ヒット
ディレイ可
ディレイ時、3段目カウンターからつながらない"
"クロスストレート

上
 / 12",12F,-3,+8,+8,,
"二重裏拳
ﾖﾐ

上,中
 / 12,24",,-10,+6,D※,,"Sc
1段目から連続ヒット"
"左前蹴り
ﾖﾐ
 or 
上
 / 14",14F,-8,+4,+4,,
"左前蹴り～リードジャブ
ﾖﾐ

上,上
 / 14,7",,-1,+7,+7,,1段目から連続ヒット
"貫乱烈洸
ﾖﾐ

上,上,中
 / 14,7,17",,-6,+8,D※,,"2段目カウンターから連続ヒット
ディレイ幅14F
カウンター確認猶予6F"
"閃烈脚
ﾖﾐ

上
 / 18",12F,-9,+2,D※,40,
"破砕蹴
ﾖﾐ
【】 or 【】
中中
 / 18,25",31F,-10,D※,D※,,"JS10F
発生の値はコマンド完成から
硬直からの最速発生は32Fだが、ジャンプキャンセルで31Fにできる"
"絶影拳
ﾖﾐ

中中
 / 5,20",12F,-14,D※,D※,,
"心中突き
ﾖﾐ

中
 / 25",20F,-12,D,D,,Pw8F
"鬼蹴り
ﾖﾐ

中
 / 22",19F,-13,+5,D※,,S2変更：カウンターで+23GF（尻餅やられ）→崩れダウン（尻餅）
"右踵落とし
ﾖﾐ

中
 / 20",19F,+4S,+7S,D※,42,"ガード or ノーマルヒットで強制しゃがみ
判定持続1F
S2変更：ガード・ヒットバックを軽減"
"魔神閃焦拳
ﾖﾐ

中
 / 20",25F,-9,D※,D※,,"WB
S2変更：ガード硬直-16F→-9F
ガードバック増加
崩れダウン（よろけ）→ウォールバウンド
空中やられ挙動を変更"
"六腑砕き
ﾖﾐ

中
 / 11",15F,-7,+9,+9,41,判定持続1F
"六腑獅子斬り包丁
ﾖﾐ

中,中
 / 11,20",,-13S,D※,D※,,"1段目から連続ヒット
ガード or ヒットで強制しゃがみ
S2変更：ガード硬直-11SF→-13SF
ヒット+9SF→叩きつけうつ伏せダウン"
"六腑閃烈脚
ﾖﾐ

中,上
 / 11,20",,-4,+17K,+17K,,"Sc
1段目から連続ヒット"
"六腑凶鳴拳
ﾖﾐ

中,中
 / 11,22",,-12,D,D,,1段目から連続ヒット
"忌怨拳
ﾖﾐ

中
 / 22",14F,-12,+5,D※,46,"H
カウンターで13Fまで地上ヒット"
"胸尖脚
ﾖﾐ

中
 / 13",18F,-7,+9,+9,,
"胸尖昇拳
ﾖﾐ

中,中
 / 13,15",,-11,+5,+5,,"1段目から連続ヒット
ディレイ幅10F
ヒット確認猶予10F"
"胸尖双突
ﾖﾐ

中,中,中
 / 13,15,21",,-18,D,+24,,"2段目カウンターから連続ヒット
プラクティスのバグで2段目ノーマルから連続ヒット扱い
ディレイ幅16F"
"踵切り(1)
ﾖﾐ

中
 / 10",13F,-9,+2,+2,41,判定持続1F
"踵切り
ﾖﾐ

中,中
 / 10,16",,-15,-4S,-4S,,"1段目から連続ヒット
ディレイ幅11F
ヒット確認猶予11F
ヒットで強制しゃがみ
判定持続1F
S2変更：判定強化"
"シットジャブ
 or 
特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"シットストレート

特中
 / 8",11F,-4,+7,+7,,"CS4F
しゃがみ帰着"
"シットスピンキック

下
 / 12",16F,-17,-3,-3,,"CS4F
しゃがみ帰着"
"ローキック

下
 / 7",12F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"捻り裏拳
ﾖﾐ

下
 / 18",25F,-14,+1S,D※,,"CS6F
しゃがみ帰着
ノーマルヒットで強制しゃがみ
入力でキャンセル～しゃがみ帰着
S2変更：ヒットバック軽減"
"獅子斬り包丁
ﾖﾐ

中
 / 20",20F,-9S,D※,D※,,"しゃがみ帰着
ガード or ヒットで強制しゃがみ
S2変更：ガード硬直-6SF→-9SF
ヒット+9SF→叩きつけうつ伏せダウン
ガードバック軽減"
"地背脚
ﾖﾐ

下
 / 14",19F,-12,-1,+7S,,"CS6F
しゃがみ帰着
カウンターで強制しゃがみ
判定持続1F"
"腿砕き
ﾖﾐ

下
 / 18",20F,-12,+4,+17G,,
"速疾號打(1)
ﾖﾐ

上
 / 13",11F,-10,+1,+1,40,
"速疾號打
ﾖﾐ

上,中
 / 13,20",,-14,D,D,,"1段目から連続ヒット
ディレイ幅14F
ヒット確認猶予10F"
"魔神連震殴打(1)
ﾖﾐ

中
 / 12",14F,-8,+4,+4,42,
"魔神連震殴打(2)
ﾖﾐ

中,上
 / 12,12",,-3,+8,+8,,"1段目から連続ヒット
ディレイ幅16F
ヒット確認猶予10F"
"魔神連震殴打
ﾖﾐ

中,上,中
 / 12,12,22",,-14,D,D,,2段目カウンターから連続ヒット
"魔神烈衝拳(1)
ﾖﾐ

上
 / 15",18F,-8,+3,+3,,
"魔神烈衝拳(2)
ﾖﾐ

上,上
 / 15,10",,±0,+6,+6,,1段目から連続ヒット
"魔神烈衝拳(3)
ﾖﾐ

上,上,下
 / 15,10,10",,-10,+7,+7,,
"魔神烈衝拳
ﾖﾐ

上,上,下,中
 / 15,10,10,15",,-14,D※,D※,,
"魔神烈衝砕
ﾖﾐ

上,上,下,下
 / 15,10,10,12",,-13,+1,+1,,
"刃閃風
ﾖﾐ

上
 / 20",19F,-5,+16K,D※,46,HSc
"蜘蛛切
ﾖﾐ

中
 / 21",22F,-12,+5,D※,,"S2変更：ガード硬直-8F→-12F
ガードバック増加"
"鬼神滅裂
ﾖﾐ

ガード不能
 / 25",43F,浮,浮※,浮※,,S2変更：ダメージ30→25
"真･鬼神滅裂
ﾖﾐ

ガード不能
 / 60",63F,浮,浮※,浮※,,
