技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"掌底(1)
ﾖﾐ

上
 / 7",10F,+1,+8,+8,,
"掌底
ﾖﾐ

上,上
 / 7,15",,-1,+6,+6,,1段目から連続ヒット
"掌底～投げ掴み
ﾖﾐ

上,上,上投
 / 7,15,30",,,投,投,,
"掌底～下段投げ掴み
ﾖﾐ

上,上,下投
 / 7,15,45",,,投,投,,
"掌底アッパー
ﾖﾐ

上,上,中
 / 7,15,10",,-4,+5,+10,,続けて左攻撃を出す場合、大幅不利
"掌底アッパー～投げ掴み
ﾖﾐ

上,上,中,上投
 / 7,15,10,40",,,投,,,
"掌底アッパー～下段投げ掴み
ﾖﾐ

上,上,中,下投
 / 7,15,10,45",,,投,,,
"ライトストレート

上
 / 10",10F,+1,+7,+7,,
"ライトストレート～レフトアッパー

上,中
 / 10,15",,-2,+5,+5,,"1段目から連続ヒット
S2変更：ダメージ12→15"
"サイドハイキック

上
 / 25",17F,-14,D,D,,
"ハイキック

上
 / 20",13F,-5,+6,浮,37,
"ブルータルサイクロン(1)～背向け

中
 / 18",18F,-11,-2,±0,,
"ブルータルサイクロン

中,中
 / 18,21",,-13,D,D※,,"1段目から連続ヒット
S2変更：空中やられ挙動を変更"
"ブルータルスティング

中,上
 / 18,25",,-3,D※,D※,,"Sc
1段目から連続ヒット"
"ムーンサルトボディプレス

中段ガード不能
 / 23",52F,D,D,D,,技後キング側ダウン
"エルボーインパクト(1)

中
 / 12",15F,-11,+2,+2,45,
"エルボーインパクト

中,上
 / 12,25",,-9,D※,D※,,"1段目から連続ヒット
ディレイ可
ディレイ時は連続ヒットしない
S2変更：ダメージ20→25
ヒットバック増加、平地追撃不可になった"
"ジャガースマッシュコンボ(2)

中,中
 / 12,15",,-13S,+2S,+2S,,"ガード or ヒットで強制しゃがみ
ディレイ可"
"ジャガースマッシュコンボ

中,中,中
 / 12,15,16",,-15,浮,浮,,"2段目から連続ヒット
ディレイ可
ヒット確認猶予13F"
"トゥーキック

中
 / 18(,20)",15F,-8,+1,+9,42,"正面ヒット時ジャスト入力でDDT（打撃投げ）に移行
ダメージ()内は打撃投げ移行時
判定持続1F
S2変更：(2.10)背面ヒットでも投げに移行できていたのを修正"
"ローリングソバット

中
 / 25",18F,-9,D,D,,"HJS9F
判定持続1Fまで確認"
"シャドーラリアット

上
 / 23",17F,-1,D※,D※,48,"Meaty 1F
ホールドで発生が遅れやすい"
"ジャガーインパクト
ホールド
上段ガード不能
 / 50",29F,D,D※,D※,,
"ドロップキック

上
 / 25",38F,+7,D※,D※,,"JS19F
空振り時キング側ダウン"
"マッスルインパクト

中
 / 21",17F,+3,+7,+7,45,
"ショルダータックル

中
 / 27",23F,-12,D,D,,"Pw8F
判定持続7F"
"エルボースマッシュ

中
 / 15",14F,-1,+3,+3,41,S2変更：ガードバック軽減
"エルボーフック

中,中
 / 15,15",,-10,+3,+3,,"1段目から連続ヒット
ディレイ可
ノーマルヒット確認猶予7F
カウンター確認猶予12F
S2変更：ヒット+1F→+3F"
"スマッシュフック

中
 / 12",13F,-6,+4,+4,38,S2変更：ヒット+3F→+4F
"ダブルフックインパクト

中,上
 / 12,15",,-4,D※,D※,,"Sc
1段目カウンターから連続ヒット
ディレイ幅13F
カウンター確認猶予13F
S2変更：カウンター確認猶予12F→13F"
"ミドルキック

中
 / 17",14F,-9,+2,+2,42,
"ミドルキック～延髄切り
ﾖﾐ

中,上
 / 17,23",,±0,D※,D※,,"JS
1段目空振り時は派生不可
1段目カウンターから連続ヒット
技後キング側ダウン"
"サイドローキック

下
 / 10",14F,-14,-3,-3,,
"シューティングキックコンビネーション(2)

下,上
 / 10,11",,-5,+6,+6,,1段目カウンターから連続ヒット
"シューティングキックコンビネーション

下,上,中
 / 10,11,27",,-15,D,D※,,"JS
2段目カウンターから連続ヒット"
"シューティングキックコンビネーション～背向け

下,上,中
 / 10,11,27",,-8,D,D※,,2段目カウンターから連続ヒット
"シューティングキックロードロップ
 or 
下,上,下
 / 10,11,20",,-13,D※,D＊,,"JS
ガード時 or 空振り時キング側うつ伏せダウン
ヒット時しゃがみ帰着"
"フランケンシュタイナー

特中,上投
 / 15(,30)",28F,-18,-7S,-7S,,"JS13F
密着時、上段投げ扱い
ダメージ()内は投げ成立時の追加ダメージ
投げ成立時キング背向け
投げ不成立時キング側ダウン
判定持続7F、しゃがみは持続2Fが接触"
"シットジャブ
 or 
特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"レフトストレート～ライトアッパー
 or  or しゃがみ中 or 
特中,中
 / 5,13",,-11,±0,±0,,"1段目カウンターから連続ヒット
1段目ガードからは持続になりやすい"
"シットストレート

特中
 / 8",11F,-4,+7,+7,,"CS4F
しゃがみ帰着"
"ストンピング

下
 / 12",17F,-12,+1,+1,,
"ローキック

下
 / 7",14F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"アトラスハンマー

中
 / 21",23F,-24,浮※,浮※,,CS6F
"アリキック(1)
 or しゃがみ中
下
 / 14",16F,-25,-9,-9,,"CS6F
しゃがみ帰着"
"アリキック(2)

下,下
 / 14,7",,-25,-9,-9,,"CS
しゃがみ帰着"
