技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ

上
 / 10",11F,±0,+6,+6,,
"ワンツーベアクロウ

上,上
 / 10,12",,-5,+6,+6,,1段目から連続ヒット
"突き
ﾖﾐ

上
 / 10",10F,-1,+6,+6,,
"ストレート～エルボー

上,中
 / 10,11",,-3,+2,+2,,1段目から連続ヒット
"ストレート～エルボー～アッパー

上,中,中
 / 10,11,22",,-14,浮,浮,,しゃがみ帰着
"ストレート～エルボー～ローキック

上,中,下
 / 10,11,13",,-13,-2,-2,,"2段目カウンターから連続ヒット
S2変更：ガード・ヒットバック軽減"
"ベアフロントキック

上
 / 25",18F,-5,D,D,,
"ハイキック

上
 / 20",14F,-6,+5,浮,,
"ベアナックル

中
 / 17",17F,-11,±0S,+8S,,カウンターでやられモーション変化
"ベアナックル～HS

中,特殊
 / 17",,-14,-3S,+5S,,
"ベアナックル～前転
ﾖﾐ

中,特殊
 / 17",,+13,+24S,+32S,,
"トリプルハンマー(2)

中,中
 / 17,16",,-18,浮,浮,,"1段目カウンターから連続ヒット
ディレイ幅17F
カウンター確認猶予17F"
"トリプルハンマー

中,中,中
 / 17,16,27",,-22S,D※,D※,,"ガードで強制しゃがみ
ディレイ可"
"ベアヘブンキャノン(1)

上
 / 7",10F,+1,+8,+8,,
"ベアヘブンキャノン(2)

上,中
 / 7,8",,-15,-4,-4,,カウンターから連続ヒット
"ベアヘブンキャノン

上,中,中
 / 7,8,14",,-16,浮※,浮※,,2段目から連続ヒット
"ワイルドランバージャック(1)

上
 / 11",13F,-13,+3,+3,,S2変更：ガード・ヒットバック軽減
"ワイルドランバージャック

上,上
 / 11,20",,-5,D※,D※,,"Sc
1段目から連続ヒット
ディレイ幅12F
ヒット確認猶予なし"
"ハイキック

上
 / 22",15F,-6,+5,浮,,
"ベアシザース

中
 / 25",17F,-12,D※,D※,,
"シェイプアップキック

下
 / 20",28F,-23,D※,D※,,"CS6F
しゃがみ帰着"
"シェイプアップヒップ

下,中
 / 20,30",,-16,D※,D※,,CS
"ステップインアッパー

中
 / 6",15F,-9,+2,+2,,
"アッパーラッシュL(2)

中,中
 / 6,9",,-13,-2,-2,,しゃがみ帰着
"アッパーラッシュL(3)

中,中,中
 / 6,9,9",,-4,+7,+7,,しゃがみ帰着
"アッパーラッシュL

中,中,中,中
 / 6,9,9,10",,-11,±0,±0,,"1段目カウンターヒット時は連続ヒットで浮き
しゃがみ帰着"
"熊武爪(1)
ﾖﾐ

中
 / 10",15F,-9,+2,+2,,
"熊武爪
ﾖﾐ

中,中
 / 10,12",,-16,浮,浮,,"1段目から連続ヒット
S2変更：ヒット時のクマ側硬直軽減
ヒットバック軽減"
"サイドキック

中
 / 13",16F,-9,+2,+2,,
"ハニートラップ

中,上
 / 13,24",,-5,D※,D※,,"Sc
1段目から連続ヒット"
"フロントキック

中
 / 15",12F,-4,+7,+7,,
"熊ウルトラ
ﾖﾐ

中
 / 32",24F,-7,D※,D※,,"HSc
判定持続1Fまで確認"
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着
S2変更：判定強化"
"シットストレート

特中
 / 8",11F,-4,+7,+7,,"CS4F
しゃがみ帰着"
"シットスピンキック

下
 / 12",20F,-15,-1,-1,,"CS4F
しゃがみ帰着"
"ローキック

下
 / 10",16F,-9,+2,+2,,"CS4F
しゃがみ帰着"
"熊鉄山靠
ﾖﾐ

中
 / 28",14F,-15,D※,D＊,,"姿勢潜り
S2変更：相手を押す力を弱くしてヒットしやすくした"
"ワイルドビンタ

上
 / 14",12F,-7,±0,±0,,
"ダブルワイルドビンタ

上,中
 / 14,20",,-13,+5S,浮※,,"ノーマルヒットで強制しゃがみ
連続ヒット"
"ベアラリアット

下
 / 14",18F,-13,+1,+1,,"CS6F
しゃがみ帰着
S2変更：判定強化"
"ベアラリアット～HS

下
 / 14",,-17,-3,-3,,CS6F
"熊不知火
ﾖﾐ

下
 / 15",18F,-8,+3,+3,,S2変更：ガード・ヒットバック軽減
"熊奈落払い
ﾖﾐ

下
 / 20",28F,-23,D※,D※,,"CS12F
しゃがみ帰着"
"ドラムロール(2)

中中
 / 5,5",14F,-9,+2S,+2S,,ヒットで強制しゃがみ
"ドラムロール(4)

中中,中中
 / 5,5,5,5",,-10,+1,+1,,"連続ヒット
ヒット確認猶予19F"
"ドラムロール

中中,中中,中
 / 5,5,5,5,27",,-13,浮※,浮※,,S2変更：ダメージ24→27
"ベアピッチャー

中
 / 27",22F,-13,D※,D※,,"Pw8F
S2変更：ガードバック軽減
空中ヒットでパンチ系叩きつけ（後ろ受身可）に変更"
"ベアピッチャー～HS

中,特殊
 / 27",,-15,D※,D※,,Pw8F
"ハウリングベアー(1)

中
 / 12",15F,-9,+2,+2,,
"ハウリングベアー(2)

中,上
 / 12,14",,-3,+8,+8,,1段目から連続ヒット
"ハウリングベアー(2)～HS

中,上,特殊
 / 12,14",,-4,+7,+7,,
"ハウリングベアー

中,上,中
 / 12,14,20",,-11,D,D,,"2段目カウンターから連続ヒット
ディレイ幅10F
カウンター確認猶予4F"
"ベアバックキック
【】
中中
 / 10,15",22F,-19,D※,D※,,"CS6F
発生はコマンド完成からの値
硬直からの最速発生は23F"
"ベアバックライディング
 or 立ち途中
中
 / 20(,3)",22F,-28,浮※,浮※,,"ダメージ()内は落下時追加ダメージ
S2変更：コマンド、立ち途中でも可
ダメージ23→20"
