技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ

上
 / 7",10F,+1,+8,+8,,
"デルタ･カッター(2)

上,中
 / 7,10",,-8,±0,±0,,1段目から連続ヒット
"デルタ･カッター

上,中,中
 / 7,10,17",,-12,+3S,D※,,"2段目カウンターから連続ヒット
ディレイ可
ノーマルヒットで強制しゃがみ"
"ワンツーパンチ

上,上
 / 7,9",,-1,+7,+7,,1段目から連続ヒット
"レギオンターン

上,下
 / 7,10",,-12,+1,+1,,1段目カウンターから連続ヒット
"クロスストレート

上
 / 10",10F,±0,+8,+8,,
"スラッシュデッキ･ミドル(2)

上,中
 / 10,7",,-7,+4,+4,,1段目から連続ヒット
"スラッシュデッキ･三ドル

上,中,中
 / 10,7,20",,-12,D,D,,"2段目カウンターから連続ヒット
ディレイ可"
"スラッシュデッキ･ハイ

上,中,上
 / 10,7,27",,-7,D※,D※,,"Sc
2段目カウンターから連続ヒット
ディレイ幅10F
カウンター確認猶予10F"
"キック･スタート

上
 / 16",15F,-12,+5,+5,,
"キック･スタート～しゃがみ

上
 / 16",,-12,+5,+5,,しゃがみ帰着
"サークルカッターハイ

上
 / 27",17F,-7,D※,D※,,Sc
"フラッシュクロー(1)

上
 / 10",13F,-5,+6,+6,,
"フラッシュクロー～SE

上,中,特殊
 / 10,11",,-5,+6,+6,,1段目から連続ヒット
"フラッシュクロー

上,中
 / 10,11",,-8,+3,+3,,"1段目から連続ヒット
S2変更：新技。構えに移行しない。"
"フラッシュアウト～DE

上,中,中,特殊
 / 10,11,20",,-9,D※,D※,,2段目カウンターから連続ヒット
"フラッシュアウト

上,中,中
 / 10,11,20",,-12,D※,D※,,"2段目カウンターから連続ヒット
S2変更：新技。構えに移行しない。"
"チャージファクター(1)

上
 / 10",12F,-6,+3,+3,,
"チャージファクター～SE

上,上,特殊
 / 10,12",,-5,+6,+6,,1段目から連続ヒット
"チャージファクター

上,上
 / 10,12",,-6,+5,+5,,"1段目から連続ヒット
S2変更：新技。構えに移行しない。"
"デスマスク

上,上
 / 10,22",,-12,D※,D※,,1段目から連続ヒット
"ヴォルカニックライトニング(1)

中
 / 12",17F,-9,+7,+7,,
"ヴォルカニックライトニング(2)

中,中
 / 12,8",,-9,+2,+2,,1段目カウンターから連続ヒット
"ヴォルカニックライトニング(3)

中,中,中
 / 12,8,8",,-10,+2,+2,,2段目から連続ヒット
"ヴォルカニックライトニング

中,中,中,中
 / 12,8,8,20",,-14,D,D,,3段目カウンターから連続ヒット
"インラッシュカレント

中
 / 20",15F,-13,D※,D※,48,"S2変更：ガード硬直-14F→-13F
ガードバック軽減"
"パワースラッグ

中
 / 28",13F,-18,D,D,,判定持続1F
"アラートL

中
 / 14",13F,-1,+5,+5,33,
"フラッシングドライブ(1)

中
 / 15",16F,-8,+3A,+3A,,S2変更：判定持続1F延長
"フラッシングドライブ

中,上
 / 15,20",,-7,D※,D※,,"Sc
1段目から連続ヒット、2段目空中ヒット"
"アウトポスト

中
 / 15",16F,-7,+3,+3,,
"アウトポスト～DE

中,特殊
 / 15",,-8,+2,+2,,
"アウトポスト･ブリッツ

中,中
 / 15,20",,-20,D※,D※,,"JS
1段目カウンターから連続ヒット"
"フロントキック

中
 / 16",15F,-8,+2,+2,,
"エックスレイ

中
 / 25",25F,-12,D※,D※,,Pw8F
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"タクティックソード

中
 / 17",18F,±0S,+8S,D※,,ガード or ノーマルヒットで強制しゃがみ
"テスラグラビティ(1)

下
 / 8",15F,-14,-3,-3,,判定持続1F
"テスラグラビティ

下,上上
 / 8,4,10",,-7,+4,+4,,"1段目カウンターから連続ヒット
空中ヒット時は打撃投げに変化"
