技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ

上
 / 7",10F,+1,+8,+8,,
"ワンツーパンチ

上,上
 / 7,9",,-1,+5,+5,,1段目から連続ヒット
"ワンツーパンチ～MS
☆
上,上,特殊
 / 7,9",,-2,+4,+4,,"CS
1段目から連続ヒット
しゃがみステータス発生"
"ワンツーパンチ～レボリューションツヴァイ(1)

上,上,中
 / 7,9,14",,-13,-2,-2,,"2段目カウンターで連続ヒット
ディレイ可"
"ワンツーパンチ～レボリューションツヴァイ

上,上,中,上
 / 7,9,14,23",,-3,D※,D※,,"Sc
3段目から連続ヒット
ディレイ可"
"ワンツーパンチ～レボリューションツヴァイ～HMS

上,上,中,上,特殊
 / 7,9,14,23",,-9,D※,D※,,"Sc
3段目から連続ヒット
ディレイ可"
"ワンツーミドル

上,上,中
 / 7,9,10",,-12,-1,D※,,1段目から連続ヒット
"ワンツーミドル～HMS

上,上,中,特殊
 / 7,9,10",,-14,-3,D※,,1段目から連続ヒット
"ワンツーミドルマックス
ホールド
上,上,中
 / 7,9,22",,-7,±0,D※,,
"アシッドレインキックコンビネーション(2)

上,上
 / 7,5",,-11,±0,±0,,1段目から連続ヒット
"アシッドレインキックコンビネーション(3)
Ｊ
上,上,中
 / 7,5,4",,-10,+1,+1,,1段目から連続ヒット
"アシッドレインキックコンビネーション
ＪＪ
上,上,中,上
 / 7,5,4,12",,-18,D※,D※,,"1段目から連続ヒット
S2変更：ダメージ16→12
ガード硬直-16F→-18F
ガードバック軽減
ヒットできりもみダウン→崩れダウン（前）"
"クロスストレート

上
 / 10",10F,+1,+7,+7,,
"コンビネーションドライ(2)

上,上
 / 10,8",,-5,+6,+6,,1段目から連続ヒット
"コンビネーションドライ(2)～HMS

上,上,特殊
 / 10,8",,-5,+6,+6,,
"コンビネーションドライ

上,上,中
 / 10,8,18",,-12,+3,D※,,"2段目カウンターから連続ヒット
しゃがみ帰着"
"コンビネーションフュンフ

上,上,上
 / 10,8,20",,-4,D※,D※,,"Sc
2段目カウンターから連続ヒット"
"コンビネーションフィーア

上,上,下
 / 10,8,18",,-16,±0,+10,,"CS
2段目カウンターから連続ヒット
ディレイ可"
"クロスストレート～レヴォリューションツヴァイ(1)

上,中
 / 10,14",,-13,-2,-2,,"1段目カウンターから連続ヒット
ディレイ可"
"クロスストレート～レヴォリューションツヴァイ

上,中,上
 / 10,14,23",,-3,D※,D※,,"Sc
1段目カウンター、2段目ヒットから連続ヒット
ディレイ可"
"クロスストレート～レヴォリューションツヴァイ～HMS

上,中,上,特殊
 / 10,14,23",,-9,D※,D※,,"Sc
1段目カウンター、2段目ヒットから連続ヒット
ディレイ可"
"ミストキック

中
 / 16",14F,-8,+7,+7,41,"S2変更：ヒット+3F→+7F
ヒットバック軽減"
"ミストキック～HMS

中,特殊
 / 16",14F,-8,+3,+3,,
"ミストウルフコンビネーション

中,上
 / 16,18",,-10,+1,+1,,"1段目から連続ヒット
ディレイ幅13F
ヒット確認猶予13F"
"トラップキック
【】
上
 / 18",30F,-10,+1,+1,,
"ミストトラップ
【】ヒット or ガード時
上,上投
 / 18(,15,5)",,上投,上投,上投,,"入力タイミングはヒット後1F目（猶予0F）
正面ガード or ヒット時に成立
空中相手にも可能
ダメージ()内は投げ成立時"
"ハイキック

上
 / 16",11F,-9,+7,浮,39,
"スピニングハンマー(2)

上,上
 / 16,14",,-14,-3,+2,,"1段目から連続ヒット
カウンター時、相手がよろける
S2変更：判定上方強化"
"スピニングハンマー

上,上,中
 / 16,14,17",,-13,+8S,D※,,"ノーマルヒットで強制しゃがみ
2段目カウンターから連続ヒット
ディレイ幅11F
ヒット確認猶予11F
判定持続1Fまで確認"
"スピニングサマー

上,上,中
 / 16,14,25",,-9,D,D,,"JS
2段目カウンターから連続ヒット
ディレイ幅11F
ヒット確認猶予5F
S2変更：ダウンヒットで鐘楼やられ"
"リーサマー
 or 
上,中
 / 16,25",,-1,D,D,,"JS
判定持続1Fまで確認"
"マシンガンキック(2)

上,上
 / 16,6",,-5,+6,浮,,1段目から連続ヒット
"マシンガンキック

上,上,上
 / 16,6,8",,-5,+6,浮,,"1段目から連続ヒット
ただしヒットバックで空振りしやすい"
"シュワルローゼフック

中
 / 20",21F,-4,+3,D※,,"H
しゃがみ帰着"
"ダブルシグナル(1)

中
 / 12",14F,-9,+2,+2,,
"ダブルシグナル

中,上
 / 12,24",,-10,D※,D※,,"1段目から連続ヒット
ディレイ幅13F
ヒット確認猶予11F"
"アシッドストーム(1)

中
 / 6",15F,-18,-7,-7,,"S2変更：判定下方強化
リーチ延長"
"アシッドストーム(2)

中,中
 / 6,3",,-18,-7,-7,,"で6段目に移行
1段目から連続ヒット"
"アシッドストーム(3)

中,中,上
 / 6,3,3",,-18,-7,-7,,"で6段目に移行
1段目から連続ヒット"
"アシッドストーム(4)

中,中,上,上
 / 6,3,3,3",,-18,-7,-7,,"で6段目に移行
1段目から連続ヒット"
"アシッドストーム(5)

中,中,上,上,上
 / 6,3,3,3,3",,-18,D,D,,"で6段目に移行
1段目から連続ヒット"
"アシッドストーム

中,中,上,上,上,上
 / 6,3,3,3,3,20",,-4,D※,D※,,"Sc
1段目から連続ヒット"
"アシッドストーム～HMS

中,中,上,上,上,上,特殊
 / 6,3,3,3,3,20",,-7,D※,D※,,"Sc
1段目から連続ヒット"
"シルバーウィップ

上
 / 13",11F,-7,+4,+4,37,
"ビューティフルスパンク

上,中
 / 13,18",,-8,+6S,浮※,,"ノーマルヒットで強制しゃがみ
1段目カウンターから連続ヒット
ディレイ幅16F
カウンター確認猶予9F
判定持続2F"
"ビューティフルスパンク～HMS

上,中,特殊
 / 13,18",,-4,+6S,浮※,,"ノーマルヒットで強制しゃがみ
1段目カウンターから連続ヒット
ディレイ幅16F
カウンター確認猶予9F"
"アグレッシブワンツー

上上
 / 10,24",13F,-13,D※,D※,,"1段目から連続ヒット
S2変更：相手を押す力を弱くしてヒットしやすくなった"
"フェザーランディング

中中
 / 10,20",30F,+4S,+8S,+8S,,"JS14F
ガード or ヒットで強制しゃがみ
しゃがみ帰着
2段目判定持続1Fまで確認"
"ステップインアッパー

中
 / 10",13F,-1,+5,+5,33,
"10連コンボ(2)

中,上
 / 10,5",,-10,+1,+1,,1段目から連続ヒット
"10連コンボ(3)

中,上,上
 / 10,5,6",,-18,-7,-7,,1段目から連続ヒット
"ショートアッパー

中
 / 12",15F,-7,浮,浮,41,しゃがみノーマルヒットは+4F
"リーレフトミドルキック

中
 / 14",15F,-8,+3,+3,,S2変更：判定下方強化
"マーキュリードライブ(2)

中,上
 / 14,11",,-6,+5,+5,,1段目から連続ヒット
"マーキュリードライブ

中,上,中
 / 14,11,23",,-16,浮※,浮※,,"2段目カウンターから連続ヒット
ディレイ幅11F
カウンター確認猶予8F"
"フロントキック

中
 / 16",13F,-9,+2,+2,41,
"フロントキック～HMS

中,特殊
 / 16",,-9,+2,+2,,
"レヴォリューションツヴァイ(1)

中
 / 18",20F,-9,-2,-2,,
"レヴォリューションツヴァイ

中,上
 / 18,23",,-3,D※,D※,,"Sc
連続ヒット
ディレイ幅18F
ヒット確認猶予9F"
"レヴォリューションツヴァイ～HMS

中,上,特殊
 / 18,23",,-9,D※,D※,,"Sc
1段目から連続ヒット
ディレイ幅18F
ヒット確認猶予9F"
"シットジャブ
 or 
特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"ストマックポリッシュ

中
 / 18",18F,-6,+8,+8,,
"シルバーロー

下
 / 17",16F,-17,-3,D※,,"CS6F
しゃがみ帰着
S2変更：ダメージ15→17"
"シルバーロー～HMS

下,特殊
 / 17",,-15,-1,D※,,"CS6F
しゃがみ帰着"
"レイザーズエッジローキック

下
 / 7",12F,-13,-14,-2,,
"リーキックコンボ(2)
☆
下,上
 / 7,16",,-9,+2,浮,,"始動の連係に移行
1段目カウンターから連続ヒット
ディレイ可"
"レイザーズエッジサイクロン
☆【Ｊ】
下,上段ガード不能
 / 7,60",,D,D※,D※,,CSJS
"レイザーズエッジキックコンボ(2)

下,下
 / 7,8",,-15,-16,-4,,"1段目カウンターから連続ヒット
ディレイ可"
"レイザーズエッジキックコンボ(3)

下,下,下
 / 7,8,5",,-15,-16,-4,,"2段目カウンターから連続ヒット
ディレイ可"
"レイザーズエッジキック

下,下,下,中
 / 7,8,5,21",,-20,D※,D※,,"3段目カウンターから連続ヒット
ディレイ可"
"レイザーズエッジキック～HMS

下,下,下,中,特殊
 / 7,8,5,21",,-11,D※,D※,,"3段目カウンターから連続ヒット
ディレイ可"
"シルバーサイクロン

上ガード不能
 / 60",60F,D,D※,D※,,CS25FJS45F
"シルバーサイクロン～キャンセル～HMS

特殊
 / ",,,,,45,しゃがみ帰着
"シットストレート

特中
 / 8",11F,-4,+7,+7,,"CS4F
しゃがみ帰着"
"パンプキック

下
 / 13",20F,-12,+2,+2,,判定持続1F
"ローキック

下
 / 7",12F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"ハームタッチ

中段ガード不能*2
 / 20,30",76F,D,D※,D※,,でキャンセル
"コンパススイープ
 or 
下
 / 17",23F,-13,+4,D※,,判定持続2F
"トリプルファング(1)

上
 / 8",15F,±0,+6,+6,,
"トリプルファング(2)

上,中
 / 8,6",,-5,+6,+6,,1段目から連続ヒット
"トリプルファング

上,中,上
 / 8,6,15",,-11,+1,+1,,1段目から連続ヒット
"トリプルファング(2)～HMS

上,中,特殊
 / 8,6",,-1,+10,+10,,1段目から連続ヒット
"トリプルファング(2)～キャンセルMS
【☆】
上,特殊
 / 8",,-5,+1,+1,,
"スーパートリプルファング(2)
Ｊ
上,中
 / 12,6",,-5,+6,+6,,1段目から連続ヒット
