技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"ジャブ

上
 / 7",10F,+1,+8,+8,,
"蛇突双撃
ﾖﾐ

上,上
 / 7,12(6)",,-6,+5,+5,,"1段目から連続ヒット
ダメージ()内は入力時"
"蛇突双撃～蛇の構え
ﾖﾐ

上,上,特殊
 / 7,12",,-5,+6,+6,,"1段目から連続ヒット
S2変更：（Ver.2.02）蛇の構え移行から蛇武のみ先行入力可能だったのが、他技も先行入力可能になった。"
"ワンツーパンチ

上,上
 / 7,12",,-1,+6,+6,,1段目から連続ヒット
"月牙叉手(1)
ﾖﾐ

上
 / 10",10F,±0,+6,+6,,
"月牙叉手
ﾖﾐ

上,中
 / 10,13",,-8,+3,+3,,1段目から連続ヒット
"月牙叉手～酔歩
ﾖﾐ

上,中,特殊
 / 10,13",,-11,±0,±0,,1段目から連続ヒット
"月牙連腿
ﾖﾐ

上,中,中中
 / 10,13,12,14",,-11,D,D,,"JS
2段目カウンターから連続ヒット
ディレイ幅10F
2段目カウンター確認猶予10F"
"虚環脚(1)
ﾖﾐ

上
 / 30",14F,-9,+2,+2,47,"Sc
S2変更：スクリュー誘発
(Ver.2.20)ノーマルヒット-4F、カウンターヒット-2F→+2F
ヒットバック軽減"
"虚環脚(1)～妃睡鳥
ﾖﾐ

上,特殊
 / 30",,-1,+10,+10,,"Sc
S2変更：(Ver.2.20)ノーマルヒット+4F、カウンターヒット+6F→+10F
ヒットバック軽減"
"虚環脚～背向け
ﾖﾐ

上,下
 / 30,17",,-13,+4S,+4S,,"1段目から連続ヒット
S2変更：2段目キャンセル背向けは削除
(Ver.2.20)ヒットで転ばしダウン（正面）→+4SF
カウンターで連続ヒット→ノーマルで連続ヒットするように変更"
"旋風連脚(1)～背向け
ﾖﾐ
【】
中
 / 25",39F,+3,+6S,+6S,,"JS25F
発生はコマンド完成からの値
硬直からの最速発生は40F
ヒットで強制しゃがみ
判定持続2Fまで確認
S2変更：ガード強制しゃがみ効果が削除？"
"旋風連脚(2)～背向け
ﾖﾐ
【】
中,中
 / 25,21",,+3,+6S,+6S,,"JS
ヒットで強制しゃがみ
判定持続2Fまで確認"
"旋風連脚～背向け
ﾖﾐ
【】
中,中,中
 / 25,21,17",,+3,+6S,+6S,,"JS
ヒットで強制しゃがみ
判定持続2Fまで確認"
"旋風連脚～頭向け仰寝
ﾖﾐ
旋風連脚中
中,特殊
 / ",,+5,+8S,+8S,,"ヒットで強制しゃがみ
判定持続2F"
