技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ

上
 / 7",10F,+1,+8,+8,,
"合子手
ﾖﾐ

上,上
 / 7,10",,-1,+7,+7,,1段目から連続ヒット
"合子手～退歩金鶏
ﾖﾐ

上,上,特殊
 / 7,10",,-10,-2,-2,,1段目から連続ヒット
"両儀肘(3)
ﾖﾐ

上,上,上
 / 7,10,16",,-5,+6,+9,,"2段目カウンターから連続ヒット
ディレイ可"
"両儀肘
ﾖﾐ

上,上,上,中
 / 7,10,16,21",,-13,D,D,,3段目ヒットから連続ヒット
"外擺腿
ﾖﾐ

上,上,上,上
 / 7,10,16,30",,-6,D※,D※,,3段目ヒットから連続ヒット
"掖錘
ﾖﾐ

上,上,下
 / 7,10,15",,-13,+3,D※,,"2段目カウンターから連続ヒット
ディレイ可
S2変更：カウンターで+3F→転ばしうつ伏せダウン"
"連弾
ﾖﾐ

上,上
 / 7,17",,-4,+5,浮,,1段目から連続ヒット
"クロスストレート

上
 / 9",11F,-1,+5,+5,,
"降龍式冲天掌
ﾖﾐ

上,上
 / 9,12",,-7,+4,+4,,1段目から連続ヒット
"降龍式鈴肘
ﾖﾐ

上,中
 / 9,20",,-13,+4,+4,,1段目から連続ヒット
"武当旋風脚(1)
ﾖﾐ

上
 / 15",14F,-8,+4,+4,,
"武当旋風脚(2)
ﾖﾐ

上,上
 / 15,10",,-2,+9,+9,,1段目から連続ヒット
"武当旋風脚(2)～仆歩
ﾖﾐ

上,上,特殊
 / 15,10",,-6,+5,+5,,1段目から連続ヒット
"武当旋風脚
ﾖﾐ

上,上,中
 / 15,10,26",,-7,D,D,,"2段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予7F"
"武当旋風脚～キャンセル
ﾖﾐ

上,上
 / 15,10",,-15,-4,-4,,
"武当金鶏独立
ﾖﾐ

上,上,中,特殊
 / 15,10,14",,+8,+14G,+14,,2段目カウンターから連続ヒット
"ハイキック

上
 / 17",12F,-7,+6,浮,38,
"雷纏通天砲
ﾖﾐ

中
 / 25",25F,-12,D,D,,Pw8F
"掖胯
ﾖﾐ

中(上中段P捌き)
 / 21",30F,-8,+5,D※,,"パンチ捌き受付2～8F
捌き成功時、後ずさりダウン2"
"横打二郎担山(1)
ﾖﾐ

上
 / 14",14F,-5,+6,+6,,
"横打二郎担山
ﾖﾐ

上,中
 / 14,21",,-12,+6,D※,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予7F"
"擺腿
ﾖﾐ

上
 / 23",20F,±0,+4,D※,48,
"擺腿～仆歩
ﾖﾐ

上,特殊
 / 23",,+1,+5,D※,,
"背折靠
ﾖﾐ

中
 / 32",18F,-14,D※,D※,,"WB
S2変更：ガード硬直-17F→-14F
吹き飛びダウン→ウォールバウンド
レオ側のヒット硬直増加"
"向捶
ﾖﾐ

上
 / 21",20F,-9,D,D,,側面ヒットの横ダウンになりやすい
"ステップインアッパー

中
 / 13",13F,-1,+7,+7,33,
"双換打
ﾖﾐ

中,上
 / 13,20",,-6,D※,D※,,"1段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予9F"
"昇砲
ﾖﾐ

中
 / 14",15F,-13,浮,浮,47,"しゃがみノーマルヒットは浮かない（-2F）
判定持続1F"
"穿炮
ﾖﾐ

中
 / 22",17F,-9,D,D※,,HSc
"フロントキック

中
 / 14",13F,-6,+5,+5,38,
"跪膝
ﾖﾐ

下
 / 19",23F,-12,+5,D※,54,"CS6F
しゃがみ帰着
判定持続1F
S2変更：ダメージ20→19
ガード硬直-15F→-12F
ノーマルヒットで転ばしうつ伏せダウン→+5F
カウンターで転ばしうつ伏せダウン（捻り）→転ばしうつ伏せダウン
全体硬直57F→54F"
"伏虎
ﾖﾐ

中
 / 18",18F,-3,+4S,D※,49,ノーマルヒットで強制しゃがみ
"伏虎～しゃがみ
ﾖﾐ

中
 / 18",,-3,+4S,D※,,"しゃがみ帰着
ノーマルヒットで強制しゃがみ"
