技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ

上
 / 7",10F,+1,+8,+8,,
"ワンツーパンチ

上,上
 / 7,12",,-1,+8,+8,,1段目から連続ヒット
"ワンツートラップロー

上,上,下
 / 7,12,10",,-13,-2,D※,,2段目カウンターから連続ヒット
"ワンツースパインシュート

上,上,中
 / 7,12,20",,-9,D※,D※,,"JS
判定持続5F"
"クロスストレート

上
 / 8",10F,±0,+8,+8,,
"クイックトラップロー

上,下
 / 8,10",,-13,-2,D※,,"CS
1段目から連続ヒット"
"アーチキックコンボ

上,上
 / 8,20",,-2,D※,D※,,"Sc
1段目から連続ヒット
ディレイ可
ヒット確認猶予5F
判定持続2Fまで確認"
"ピーコックワルツ(1)～背向け

中
 / 12",15F,-11,-3,-3,,"背向け移行
判定持続1F"
"ピーコックワルツ

中,中
 / 12,20",,-13,D※,D※,,1段目から連続ヒット
"ピーコックジャイブ(2)

中,上
 / 12,8",,-5,+2,+6,,1段目から連続ヒット
"ピーコックジャイブ(2)～パラードステップ

中,上,特殊
 / 12,8",,-2,+5,+9,,"1段目から連続ヒット
S2変更：新技"
"ピーコックジャイブ

中,上,上
 / 12,8,22",,-9,D※,D※,,"JS
2段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予4F"
"ハイキック

上
 / 16",12F,-4,+7,+7,,
"10連コンボ(2)

上,上
 / 16,7",,-1,±0,+2,,1段目から連続ヒット
"トライアングルスプレッド

中
 / 26",12F,-12,D※,D※,,
"マルスソード(1)

上
 / 12",12F,-9,-1,-1,,S2変更：発生13F→12F
"マルスソード

上,中
 / 12,20",,-15,D※,D※,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予5F
S2変更：ガード硬直-12F→-15F"
"サークルニー

中
 / 26",20F,-6,D※,D※,,"HSc
判定持続2F"
"ベリエアタッケ

中
 / 23",17F,-9,D※,D※,,
"キティシザーズ

中
 / 19",14F,-6,+3S,D※,,"ノーマルヒットで強制しゃがみ
判定持続1F"
"クロックキック

中中
 / 8,22",18F,-4,D,D※,,"JS12F
2段目のみヒットでうつ伏せダウン"
"ディレイクロックキック
【】
中,中
 / 8,20",18F,-8,D,D※,,"2段目のみヒットで叩きつけダウン
1段目ガードから発生15F以内で割り込み可能
判定持続2Fまで確認"
"ディレイクロックキック・リターン
【】
中,中,中
 / 8,20,20",,-20,D※,D※,,"JS
判定持続2Fまで確認
S2変更：ダウンヒットで鐘楼やられ"
"デフュージョンハンド

中
 / 12",13F,-1,+7,+7,36,
"オルレアンソード

中
 / 16",16F,-11,浮,浮,,
"オルレアンソード～背向け

中
 / 16",,-11,浮,浮,,背向け移行
"フッキングヒール

中
 / 23",20F,+3S,+8S,D※,50,"ガード or ノーマルヒットで強制しゃがみ
判定持続2F"
"シャットアップスタンプ(1)

中
 / 14",15F,-8,-2,+5,,カウンターで画面が揺れる
"シャットアップスタンプ

中,下
 / 14,21",,-15,+1,+6,,"1段目カウンターから連続ヒット
カウンター確認猶予14F
判定持続1F"
"バックフリップ～背向け

中
 / 14",24F,-4,D※,D※,,"JS12F
背向け移行
判定持続2Fまで確認"
"バックフリップ･スピニングエッジ～背向け

中,中中
 / 14,5,20",,-7,D,D,,"JS
背向け移行
3段目のみヒットで叩きつけダウン
S2変更：ガードバックを軽減"
"パドリングビート(1)

下
 / 10",18F,-11,±0,±0,,"CS11F
判定持続1F
S2変更：ガードバックを軽減"
"パドリングビート(1)～しゃがみ

下
 / 10",18F,-11,±0,±0,,"CS11F
しゃがみ帰着
判定持続1F"
"パドリングビート(2)

下,上
 / 10,8",,-8,+3,+5,,"1段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予5F
判定持続1F、持続になりやすい"
"パドリング&フリップミラー～背向け

下,上,特殊
 / 10,8",,-8,+3,+5,,背向け移行
"パドリングビート

下,上,中
 / 10,8,24",,-9,D※,D※,,"Sc
2段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予2F"
"ブラッディマスカレード(1)

中
 / 16",16F,-7,-1,-1,,判定持続1F
"ブラッディマスカレード

中,上
 / 16,10",,-10,-4,-2,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予13F"
