技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"ポイントＬ

上
 / 7",10F,+1,+8,+8,,
"ポイントＬ～Ｃ･アップロック

上,中
 / 7,12",,-4,+7,+7,,1段目から連続ヒット
"ポイントＬ～Ｃ･アップロックヒット

上,中,中
 / 7,12,20",,-11,D,D,,"2段目カウンターから連続ヒット
S2変更：ガードバックを軽減
相手を押す力を弱くしてヒットしやすくした"
"ポイントＬ～Ｃ･アップロッククラップ

上,中,中
 / 7,12,20",,-4,+4S,D※,,"ノーマルヒットで強制しゃがみ
2段目カウンターから連続ヒット
しゃがみ帰着
S2変更：技が出るタイミングを1F遅くした
ヒット+2SF→+4SF
ヒットバック増大
しゃがみ帰着"
"ポイントＬ～Ｃ･アップロックスイング

上,中,上上
 / 7,12,12,20",,-2,+13K,D※,,"HSc
2段目カウンターから連続ヒット"
"ポイントＲ

上
 / 12",12F,-4,+7,+7,,
"ポイントＲ～ハイタッチ

上,上
 / 12,17",,-12,+4,D※,,"1段目から連続ヒット
S2変更：カウンターで+4F→くの字ダウン"
"ポイントＲ～ツイストL
Ｊ
上,下,特殊
 / 12,10",,-11,+7S,+8S,,"ツイストL（）連係に派生
1段目から連続ヒット
ヒットで強制しゃがみ
S2変更：カウンターで+7SF→+8SF、ダブルツイストが連続ヒット"
"ミドルキック

中
 / 14",15F,-7,+4,+4,41,S2変更：ダメージ17→14
"ミドルキック～背向け

中
 / 14",,-15,-4,-4,,S2変更：新技
"ミドルシフトＲ

中,中
 / 14,20",,-14,浮,浮,,"1段目カウンターから連続ヒット
ディレイ幅12F
カウンター確認猶予8F
S2変更：ダメージ16→20
ディレイ可"
"フロントキック

中
 / 15",12F,-9,+2,+7,40,
"ダブルスイング

上上
 / 6,20",22F,-2,+13K,D※,,"HSc
S2変更：ダメージ12,20→6,20"
"Ｃ･アップロック

中
 / 12",17F,-4,+7,+7,40,
"Ｃ･アップロックヒット

中,中
 / 12,20",,-11,D,D,,"ディレイ可
1段目カウンターから連続ヒット"
