技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"ジャブ

上
 / 7",10F,+1,+8,+8,,
"ワンツーパンチ

上,上
 / 7,12",,-1,+5,+5,,1段目から連続ヒット
"ワンツークラウチングスタイル

上,上,特殊
 / 7,12",,-3,+3,+3,,"クラウチングスタイル派生は先行入力可
しゃがみ or 立ち途中技は先行入力不可&受付が3F遅い"
"ワンツークラウチングスタイル～キャンセル

上,上,特殊
 / 7,12",,-2,+4,+4,,1Fだけキャンセルモーションを見せる必要があるため、以降は先行入力不可
"ワンツーストマックキックコンボ(3)

上,上,中
 / 7,12,12",,-16,-5,-5,,ディレイ可
"ワンツーストマックキックコンボ

上,上,中,上
 / 7,12,12,28",,±0S,+4S,+4S,,"3段目から連続ヒット
ディレイ可
ディレイすると連続ヒットしない
ガード or ヒットで強制しゃがみ"
"ワンツーエルボースティング

上,上,上
 / 7,12,21",,+4,+6,D※,,ディレイ可
"ジャブ～ボディブロー

上,中
 / 7,13",,-9,+7,+7,,1段目から連続ヒット
"ストレート

上
 / 10",10F,±0,+8,+8,,
"クイックエルボースティング

上,上
 / 10,12",,+3,+5,+5,,"10連始動
1段目から連続ヒット"
"ストレート～ショルダーインパクト

上,中
 / 10,22",,-12,浮,浮,,ディレイ可
"サイドハイキック

上
 / 28",17F,-14,D,D,,
"ハイキック

上
 / 16",13F,-5,+6,浮,37,
"プッシング

中
 / 0",15F,-9,+3,+16,,
"ダブルハンマーフック(1)

上
 / 20",16F,-7,+7,D※,,
"ダブルハンマーフック

上,上
 / 20,25",,-7,D※,D※,,"Sc
ディレイ可"
"フックスマッシュコンボ(2)

上,中
 / 20,17",,-13S,+2S,+2S,,"ディレイ可
ガード or ヒットで強制しゃがみ"
"フックスマッシュコンボ

上,中,中
 / 20,17,16",,-15,浮,浮,,2段目から連続ヒット
"ニーリフト

中
 / 17",23F,-8,+5,浮,,
"マンモスチャージ

中,中
 / 17,20",,-9,+6S,浮※,,"1段目から連続ヒット
ディレイ可
ヒットで強制しゃがみ
S2変更：カウンターで浮き"
"ワイルドスタンプ

中
 / 20",19F,-8S,+2S,D※,,ガード or ヒットで強制しゃがみ
"サルコンパンチ

上
 / 21",15F,-10,D※,D※,49,"Pw8F
S2変更：鉄拳6から復活、パワークラッシュ"
"スクライミングタックル

上段ガード不能
 / 30",32F,D,D※,D※,,
"スクライミングクラウチングスタイル

特殊
 / -",,,,,45,CS技、しゃがみ技、立ち途中技の先行入力可
"ジャイアントボール

中
 / 25",21F,-18,+9G,+9G,,"JS16F
ヒットで尻餅やられ
判定持続14F
S2変更：ヒットでダウンしなくなった"
"スイングアッパー

中
 / 15",15F,-12,浮,浮,46,S2変更：発生が1F早くなった
"ボディブロー

中
 / 16",15F,-7,+6,+6,41,
