技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ

上
 / 7",10F,+1,+8,+8,,
"パンチ～バックナックル

上,上
 / 7,12",,-1,+5,+5,,1段目から連続ヒット
"アップ･ストローク

上,上,上
 / 7,12,20",,+3,D※,D※,,"ディレイ可
S2変更：ダメージ16→20
判定持続1F延長
ガードバック軽減
ヒット+8F→頭叩きつけダウン
判定下方強化"
"アップ･ストローク～SS

上,上,上,特殊
 / 7,12,20",,+3,D※,D※,,ディレイ可
"ハンマリングアタック

上,上,中
 / 7,12,30",,+4S,D※,浮※,,"ガードで強制しゃがみ
ディレイ可
S2変更：発生が3F早くなった"
"パンチ～ローキック

上,下
 / 7,12",,-12,+1,+1,,"CS
しゃがみ帰着
1段目カウンターから連続ヒット"
"セパレーションフック(1)

上
 / 12",11F,-8,+3,+8,,
"セパレーションフック

上,上
 / 12,15",,-4,+7,+7,,1段目から連続ヒット
"セパレーションフック～SS

上,上,特殊
 / 12,15",,-4,+7,+7,,
"サイドハイキック

上
 / 16",13F,-7,+2,+2,,S2変更：発生15F→13F
"パワーコード

上,中
 / 16,20",,-12,D※,D＊,,"Sc
1段目から連続ヒット
S2変更：1段目ノーマルからでも連続ヒット
ガード硬直-11F→-12F"
"ハイキック

上
 / 17",12F,-9,+5,浮,40,"S2変更：ガード硬直-7F→-9F
ノーマルヒット+4F→+5F
全体硬直38F→40F"
"ダブルハンマリング(1)

中
 / 20",19F,-7,+4S,+4S,,"ヒットで強制しゃがみ
判定持続1F"
"ダブルハンマリング(1)～しゃがみ

中
 / 20",,-7,+4S,+4S,,"しゃがみ帰着
ヒットで強制しゃがみ
判定持続1F"
"ダブルハンマリング

中,中
 / 20,20",,-14,D※,D＊,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予8F
S2変更：ガード硬直-15F→-14F
ガードバック軽減
ヒット時のミゲル側硬直軽減"
"テレフォンパンチ

上
 / 17",15F,-3,+6,D※,38,
"エスカッション(1)

中
 / 13",20F,-5,+7S,+7S,,"ヒットで強制しゃがみ
S2変更：発生19F→20F
（発生19Fの判定を削除）
ガード硬直-6F→-5F
ヒット+6SF→+7SF
ガード・ヒットバック軽減"
"エスカッション

中,中
 / 13,12",,-15,D※,D＊,,"1段目から連続ヒット
ディレイ幅25F
ヒット確認猶予16F
S2変更：ヒット確認猶予12F→16F
ガード硬直-12F→-15F
ガードバック軽減"
"サイクロンスラップ(1)

中
 / 15",17F,-7,+6,+6,,"H
S2変更：判定強化"
"サイクロンスラップ

中,中
 / 15,20",,-12,D※,D＊,,"Sc
1段目から連続ヒット
判定持続1F
S2変更：ガード硬直-13F→-12F
ヒット時のミゲル側t硬直軽減"
"インダクタンス

上
 / 20",14F,-5,D※,D※,42,
"前進

特殊
 / -",,,,,144,上中段オートガード
"デットポイント

中段ガード不能
 / 178",191F,D,D※,D※,,
"ルードチャージ

中
 / 28",24F,-7,D,D,,"判定持続9F
S2変更：ダメージ30→28"
"チョーキング

中
 / 12",13F,-2,+5,+5,,
"チョーキング～SS

中,特殊
 / 12",,-2,+5,+5,,
"ダブルチョーキング

中,上
 / 12,13",,-3,+5,+5,,1段目から連続ヒット
"ダブルチョーキング～SS

中,上,特殊
 / 12,13",,-3,+5,+5,,
"ダブルチョーキング･ボディ

中,上,中
 / 12,13,18",,-12,+2,D,,"2段目カウンターから連続ヒット
S2変更：ガード硬直-10F→-12F
ノーマルヒット+4F→+2F"
"ダブルチョーキング･レフトサンディング

中,上,下
 / 12,13,13",,-12,+2,D※,,"ディレイ可
S2変更：ガード硬直-11F→-12F
ノーマルヒット+3F→+2F"
"ダブルチョーキング･レフトサンディング～SS

中,上,下,特殊
 / 12,13,13",,-12,+2,D※,,"S2変更：ガード硬直-11F→-12F
ノーマルヒット+3F→+2F"
"チョーキングピックアップ

中,中
 / 12,18",,-12,+1,+1,,"1段目から連続ヒット
S2変更：ガード時、お互いの硬直を増大"
"ビートアッパー(1)

中
 / 10",16F,-7,+6,+6,,"S2変更：ヒット時の挙動を変更（フレームは変化なし）
ヒットバック軽減"
"ビートアッパー

中,中
 / 10,10",,-15,浮,浮,,"1段目から連続ヒット
S2変更：ガードバック増大"
"ビートバックナックル

中,中
 / 10,22",,-6,+13K,+13K,,"Sc
1段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予2F"
"ビートチョッピング

中,中
 / 10,22",,-3S,D※,D※,,"JS
1段目カウンターから連続ヒット
ディレイ可
ガードで強制しゃがみ
S2変更：ガード硬直-4F→-3SF"
"ブラッシング(1)

中
 / 11",16F,-6,+5,+5,,
"ブラッシング

中,中
 / 11,14",,-6,+5,+5,,"しゃがみヒット時は尻餅やられ
（ガード可能な30F有利）
1段目から連続ヒット"
"カッティング(1)

中
 / 13",14F,-7,+4,+4,,"判定持続1F
S2変更：判定強化"
"カッティング

中,上
 / 13,8",,-5,+6,+6,,1段目から連続ヒット
"カッティング～SS

中,上,特殊
 / 13,8",,-5,+6,+6,,
"カッティングエッジ

中,上,中
 / 13,8,17",,-10,+7,D※,,"2段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予11F"
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"タッピング

中
 / 24",18F,-7S,+4S,D※,,"ガード or ノーマルヒットで強制しゃがみ
判定持続1F"
"ローキック

下
 / 15",21F,-12,+1,+1,,"CS6F
しゃがみ帰着"
"ライトサンディング

下
 / 10",16F,-11,±0,±0,,
"ライトサンディング&バンキング

下,上
 / 10,20",,-8S,+5S,+5S,,"ガード or ヒットで強制しゃがみ
1段目カウンターから連続ヒット"
"ライトサンディング&バンキング～SS

下,上,特殊
 / 10,20",,-8S,+5S,+5S,,"ガード or ヒットで強制しゃがみ
1段目カウンターから連続ヒット"
"ブロックバースト

中
 / 28",21F,-12,D※,D※,,"CS10F
判定持続1Fまで確認
S2変更：ダメージ30→28"
"ブリッジチューン

中
 / 20",21F,-15,D※,D＊,,"S2変更：ガード硬直-12F→-15F
ガードバック増大"
"ダウンピッキング

下
 / 12",25F,-18,D※,D※,63,"CS9F
しゃがみ帰着"
"ダウンピッキング(ホールド)
ホールド
下
 / 12",31F,-18,D※,D※,68,"CS9F
しゃがみ帰着"
"ハードプルアップ

中
 / 23",20F,-9,D※,D※,,
"ヒールダウン

下
 / 12",18F,-13,+3,+3,,
"ヒールダウン～SS

下,特殊
 / 12",,-13,+3,+3,,
"スウィングステップ

下,下
 / 12,13",,-19,-8,-8,,1段目カウンターから連続ヒット
"ヒールアップ

下
 / 17",18F,-14,+2S,D※,,"ノーマルヒットで強制しゃがみ
判定持続1F"
"アーミング

上
 / 17",11F,-9,+2,D※,39,
"アーミング～SS

上,特殊
 / 17",,-9,+2,D※,,
"プリングオフ(1)

上
 / 15",16F,-6,+2,+2,,
"プリングオフ

上,中
 / 15,22",,-7,+3S,浮※,,"しゃがみ帰着
ノーマルヒットで強制しゃがみ
1段目から連続ヒット
ディレイ可
ヒット確認猶予9F"
"ヴァイブローラー

中
 / 25",30F,+7,+7S,D※,,"JS15F
ノーマルヒットで強制しゃがみ
判定持続2F
S2変更：発生33F→30F
ジャンプステータス発生16F→15F"
"ヴァイブローラー～SS

中,特殊
 / 25",30F,+7,+7S,D※,,"JS15F
ノーマルヒットで強制しゃがみ
判定持続2F"
"フェイズブーツ

中
 / 25",19F,-13,D※,D※,,"Pw8F
S2変更：ガード硬直-14F→-13F
ヒット時のミゲル側硬直軽減"
