技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"サディスティックコンビネーション(1)

上
 / 7",10F,+1,+8,+8,,
"サディスティックコンビネーション(2)

上,上
 / 7,9",,-3,+8,+8,,1段目から連続ヒット
"サディスティックコンビネーション

上,上,中
 / 7,9,17",,-9,+5,D※,,"2段目カウンターから連続ヒット
ディレイ可"
"ヘヴィレイン(2)

上,上
 / 7,9",,-8,+3,+3,,1段目から連続ヒット
"ヘヴィレイン

上,上,中
 / 7,9,22",,+4,浮※,浮※,,2段目ガードから発生14F以内で割り込み可
"ダークナイトコンビネーション

上,上,上
 / 7,9,13",,-9,+1,D※,,1段目から連続ヒット
"トリプルヘッドショット(2)

上,上
 / 7,17",,-6,+3,+3,,1段目から連続ヒット
"トリプルヘッドショット

上,上,中
 / 7,17,20",,-5,+6S,D※,,"2段目カウンターから連続ヒット
ディレイ可"
"シンスマッシャー(1)

上
 / 9",11F,-8,+3,+3,,
"シンスマッシャー(2)

上,上
 / 9,12",,-7,+4,+4,,1段目から連続ヒット
"シンスマッシャー

上,上,下
 / 9,12,15",,-12,+3S,D※,,"2段目カウンターから連続ヒット
ディレイ可"
"エクスキューショナーラッシュ(2)

上,中
 / 9,17",,-14,+1S,+1S,,1段目から連続ヒット
"エクスキューショナーラッシュ(3)

上,中,中
 / 9,17,17",,-14,+1S,+1S,,
"エクスキューショナーラッシュ

上,中,中,中
 / 9,17,17,20",,-14S,D※,D※,,3段目から連続ヒット
"レフトハイキック

上
 / 25",13F,-9,+2,+2,,技表にないため仮称
"ダブルヘッドショット(1)

上
 / 17",12F,-6,+3,+3,,
"ダブルヘッドショット

上,中
 / 17,20",,-5,+6S,D※,,1段目カウンターから連続ヒット
"スイッチヒッター

上,中
 / 14,24",13F,-14,D,D※,,
"シャヴィング

中
 / 0",14F,-7,+2,+16,,カウンター時、インティミデーションに移行
"フェイスグラインダー(1)

上
 / 10",14F,-7,+4,+4,,
