技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ

上
 / 7",10F,+1,+8,+8,,
"ワンツーパンチ

上,上
 / 7,10",,-1,+5,+5,,"1段目から連続ヒット
ディレイ幅8F"
"ワンツーパンチ～横移動
 or 
上,上,特殊
 / 7,10",,±0,+6,+6,,
"スパークコンボ(3)

上,上,上
 / 7,10,6",,-3,+4,+4,,"2段目カウンターから連続ヒット
ディレイ可"
"連撃双掌破2(4)
ﾖﾐ

上,上,上,上
 / 7,10,6,6",,-10,+1,+1,,"3段目カウンターから連続ヒット
ディレイ可"
"連撃双掌破2
ﾖﾐ

上,上,上,上,中
 / 7,10,6,6,22",,-14,D,D※,,"4段目カウンターから連続ヒット
ディレイ幅10F"
"スパークコンボ

上,上,上,下
 / 7,10,6,12",,-13,-2,-2,,"CS
3段目カウンターから連続ヒット
ディレイ可
しゃがみ帰着"
"ワンツー&スパイダーニー

上,上,中
 / 7,10,15(,10)",,-13,+2,+2,,"正面ヒット直前3F以内にで腕挫腹固め（打撃投げ）に移行
ダメージ()内は打撃投げ移行時
2段目カウンターから連続ヒット
ディレイ可"
"トリプルスマッシュ

上,上,上
 / 7,10,22",,-6,D※,D※,,"Sc
2段目カウンターから連続ヒット
ディレイ可"
"連撃双掌破1
ﾖﾐ

上,上,中
 / 7,10,22",,-14,D,D※,,"2段目カウンターから連続ヒット
ディレイ可"
"PKコンボ

上,上
 / 7,17",,-4,+1,D※,,"1段目から連続ヒット
S2変更：ダメージ15→17
ガード硬直-5F→-4F
ノーマルヒット±0F→+1F"
"PKコンボ～アサシンブレード

上,上,中
 / 7,17,21",,-11,+15K,D※,,Sc
"ライトストレート

上
 / 10",10F,+1,+7,+7,,
"逆ワンツーパンチ
ﾖﾐ

上,上
 / 10,6",,-3,+4,+4,,"1段目カウンターから連続ヒット
ディレイ可"
"クイックスパークコンボ

上,上,下
 / 10,6,12",,-13,-2,-2,,"CS
2段目カウンターから連続ヒット
ディレイ可
しゃがみ帰着"
"ライトストレート&スパイダーニー

上,中
 / 10,15(,10)",,-13,+2,+2,,"正面ヒット直前3F以内にで腕挫腹固め（打撃投げ）に移行
ダメージ()内は打撃投げ移行時
1段目カウンターから連続ヒット
ディレイ可"
"ダブルスマッシュ

上,上
 / 10,22",,-6,D※,D※,,"Sc
1段目カウンターから連続ヒット
ディレイ可"
"クイック連撃双掌破
ﾖﾐ

上,中
 / 10,22",,-14,D,D※,,"1段目カウンターから連続ヒット
ディレイ可"
"レフトハイキック

上
 / 14",14F,-16,-5,-5,,
"レフトハイキック～右側転
ﾖﾐ

上,特殊
 / 14",,-27,-16,-16,,
"レフトハイキック～右側転～しゃがみ
ﾖﾐ

上,特殊
 / 14",,-23,-12,-12,,しゃがみ帰着
"レフトハイキック～螺旋双破
ﾖﾐ
中
上,特殊,中
 / 14,22",,-11,D※,D※,,
"スパイクコンボ

上,下
 / 14,10",,-17,-6,-6,,"CS
1段目から連続ヒット"
"スパイクコンボ&ライトアッパー

上,下,中
 / 14,10,10",,-13,浮,浮,,2段目カウンターから連続ヒット
"スパイクコンボ&ライトハイキック

上,下,上
 / 14,10,18",,-6,+5,浮,,2段目カウンターから連続ヒット
"スパイクコンボ&ハーリングキックコンボ

上,下,上,中
 / 14,10,18,20",,+2S,+5S,D※,,ガード or ノーマルヒットで強制しゃがみ
"レフトハイ&ライトハイキック

上,上
 / 14,20",,-6,D※,D※,,"Sc
1段目から連続ヒット
ディレイ幅10F
ヒット確認猶予8F"
"ライトハイキック

上
 / 15",11F,-9,+8,浮,39,
"ライトハイキック～左側転
ﾖﾐ

上,特殊
 / 15",,-28,-17,浮,,
"ライトハイキック～左側転～しゃがみ
ﾖﾐ

上,特殊
 / 15",,-24,-13,浮,,しゃがみ帰着
"ライトハイキック～螺旋双破
ﾖﾐ
中
上,特殊,中
 / 15,22",,-11,D※,D※,,
"ライトハイキック&レフトスピンローキック

上,下
 / 15,13",,-17,-3,-3,,CS
"ジャミングコンボ&ライトアッパー

上,下,中
 / 15,13,10",,-13,浮,浮,,2段目カウンターから連続ヒット
"ジャミングコンボ&ハーリングキックコンボ(3)

上,下,上
 / 15,13,18",,-6,+5,浮,,2段目カウンターから連続ヒット
"ジャミングコンボ&ハーリングキックコンボ

上,下,上,中
 / 15,13,10,20",,+2S,+5S,D※,,"ガード or ノーマルヒットで強制しゃがみ
判定持続1F"
"アイボリーカッター

中中
 / 4,20",15F,-5,+4S,+6S,,"ヒットで強制しゃがみ
1段目カウンターで2段目フレームもカウンター扱い
判定持続1F"
"マクナスフォール(1)

上
 / 12",13F,-3,+8,+8,35,
