技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ

上
 / 7",10F,+1,+8,+8,,
"ワンツーパンチ

上,上
 / 7,8",,-2,+6,+6,,1段目から連続ヒット
"ワンツースライス

上,上,上
 / 7,8,12",,-11,+1,+1,,1段目から連続ヒット
"ワンツーヘヴィスラッシュ

上,上,中
 / 7,8,23",,-9,D※,D※,,"Sc
ディレイ可"
"ワンツーサイドドッジ
 or 
上,上,特殊
 / 7,8",,-26,-18,-18,,"JS
しゃがみ帰着"
"アサルトラッシュ(1)

中
 / 9",15F,-12,-6,-6,,
"ダブルアサルト

中,中
 / 9,9",,-9,+6,+6,,"1段目から連続ヒット
ディレイ幅11F
ヒット確認猶予11F"
"アサルトラッシュ(3)

中,中,上
 / 9,9,7",,-8,-2,-2,,
"アサルトラッシュ(4)

中,中,上,上
 / 9,9,7,7",,-7,+7,+7,,3段目から連続ヒット
"アサルトラッシュ

中,中,上,上,中
 / 9,9,7,7,15",,-14,D※,D※,,"JS
3段目から連続ヒット"
"トリプルアサルト

中,中,中
 / 9,9,23",,-14,+5K,+5K,,Sc
"ダブルアサルト～シフトブレイク

中,中,特中,打撃投げ
 / 9,9,5,(20)",,-11,打投,打投,,"JS
ダメージ()内は打撃投げ追加ダメージ
空中ヒットでも成立
2段目ガードから発生13F以内で割り込み可"
"レフトハイキック

上
 / 15",14F,-7,-1,-1,,技名は技表にないため仮名
"ハイキック

上
 / 15",12F,-8,+3,+3,,
"デクステラエッジ

上,中
 / 15,15",,-14,-1,-1,,"1段目から連続ヒット
やられ側でダウン選択可"
"デクステラエッジ・エア

上,中,特殊
 / 15,15",,,,,,"2段目空中ヒット時に自動発動
前ジャンプ（）状態に移行する"
"サイクロンスラッシュ

上,中
 / 17,24",18F,-14,D※,D※,,HSc
"サイクロンスラッシュキャンセル

上
 / 17",,-9,-3,-3,,"H
ヒットから6F目に入力で成立"
"シフトブレイク

特中,打撃投げ
 / 8(,25)",20F,-9,打投,打投,75,"JS20F
ダメージ()内は打撃投げ追加ダメージ
空中ヒットでも成立
判定持続8Fまで確認
持続でもガード硬直の値は固定
S2変更：判定下方修正"
"スティンガーニー

中
 / 14",16F,-9,+9,+9,,"やられ側20F以内にでダウン選択可
姿勢潜り"
"スティンガーニー～シフトブレイク

中,特中,打撃投げ
 / 14,5(,20)",,-11,打投,打投,,"1段目から連続ヒット（ダウン選択で回避可）
ダメージ()内は打撃投げ追加ダメージ
空中ヒットでも成立
1段目ガード時、発生13F以内で割り込み可"
"サークルスラッシュ(1)

中
 / 13",17F,-8,+8,+8,,
"サークルスラッシュ

中,中
 / 13,21",,-11,+12K,+12K,,"Sc
1段目から連続ヒット
1段目ガードから発生13F以内で割り込み可
S2変更：判定強化"
"ピアッシングスピア

中
 / 24",16F,-19,D※,D※,,"判定持続1Fまで確認
S2変更：ガード硬直-25F→-19F
ノクティス側のヒット硬直軽減"
"シールドバッシュ

中
 / 20",23F,-13,D※,D※,,"Pw8F
S2変更：ガード硬直-14F→-13F
全体硬直軽減"
"ヘッドスピナー(1)

中
 / 10",13F,-1,+7,+7,,
"ヘッドスピナー

中,上
 / 10,20",,-5,D※,D※,,"ScJS
1段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予8F"
"ロイヤルエッジ

中
 / 15",15F,-20,浮,浮,,ジャンプステータスの発生は判定発生後
"10連コンボ(1)

中
 / 9",16F,-13,-2,-2,,
"10連コンボ(2)

中,上
 / 9,7",,-10,-3,-3,,1段目から連続ヒット
"コンビネーション・レイド(1)

中
 / 12",14F,-7,+4,+4,,
"コンビネーション・レイド(2)

中,上
 / 12,17",,-2,+8,+8,,"1段目から連続ヒット
ディレイ幅9F
ヒット確認猶予9F
S2変更：ガード硬直-4F→-2F
ヒット+7F→+8F
ディレイ可"
"コンビネーション・レイド

中,上,中
 / 12,17,21",,-8S,浮※,浮※,,JS
"コンビネーション・チェイサー

中,上,上
 / 12,17,20",,-5,D※,D※,,"ScJS
2段目カウンターから連続ヒット"
"ヘヴィスラッシュ

中
 / 27",25F,-9,D※,D※,,"Sc
判定持続1Fまで確認"
"ワールウィンドダガー

中中
 / 10,10",17F,-3S,+4S,+4S,,"しゃがみ帰着
ガード or ヒットで強制しゃがみ
S2変更：ダメージ7,10→10,10"
"ハイドラスライス(1)

下
 / 12",20F,-18,-3,-3,,
"ハイドラスライス

下,上
 / 12,23",,-9,+10K,D※,,"Sc
1段目カウンターから連続ヒット"
"スイープキック
 or 
下
 / 13",16F,-13,-2,-2,,"CS6F
しゃがみ帰着"
"メイルストラム(1)

下
 / 9",19F,-31,-9,-9,,2段目入力＆クリーンヒットで転ばしダウン
"メイルストラム(2)

下,上
 / 9(13),20",,-12,+4,+4,,ダメージ()内はクリーンヒット時
"メイルストラム

下,上,中
 / 9(13),20,22(25)",,-18S,D※,D※,,"3段目ダメージ()内はジャスト入力時
入力タイミングはヒット前1F～ヒット後1Fの計3F 
S2変更：ノクティス側のヒット硬直軽減"
"ウィンドエッジ

中
 / 7",15F,-6,+3,+3,,"S2変更：ガード時のお互いの硬直を軽減
ヒット±0F→+3F"
"ウィンドエッジ～ドッジロール

中
 / 7",,-4,+5,+5,,"ドッジロール（）に派生
S2変更：ガード硬直-6F→-4F
ヒット±0F→+5F
※前Ver.から移行なしと差分があったか不明"
"ダンシングエッジ

中,中中
 / 7,7,10",,-5,+6,+6,,"1段目から連続ヒット
ディレイ幅10F
ヒット確認猶予10F
S2変更：ガード硬直-7F→-5F
ヒット+4F→+6F"
"デルタスラスト

下
 / 23",24F,-19,D※,D＊,,"S2変更：ノーマルヒット+4SF→転ばしうつ伏せダウン
ヒット時、ノクティス側の硬直増大"
"ニークラッシャー

下
 / 9",17F,-12,-1,-1,,"S2変更：ガード硬直-13F→-12F
ヒット-2F→-1F"
"ロイヤルスラッシュ

中
 / 25",25F,-16,浮※,浮※,,判定持続1Fまで確認
"ロイヤルスラッシュ・オルタ
ホールド
中
 / 28",46F,+2,浮※,浮※,,
"シャドウスタッブ(1)

上
 / 10",12F,-11,±0,±0,,
"シャドウスタッブ

上,上
 / 10,21",,-9,+7,+7,,"1段目から連続ヒット
ディレイ幅12F
ヒット確認猶予12F"
"スマッシュブロー

中
 / 13",15F,-9,+4,+4,,
"サンダー・インパクト
ヒット時
中,打撃投げ
 / 13,6,14",,,+6,+6,,"正面ヒットのみ成立
追加コマンドの受付はヒット～ヒット後4Fの計5F
S2変更：入力受付3F→5F
ヒット+4F→+6F"
"トワイライトハーフムーン

上
 / 14",14F,-12,-1,-1,,
"ナイトフォール

上,中
 / 14,23",,-14,D※,D※,,1段目から連続ヒット
"トワイライトハーフムーン～背向け

上,特殊
 / 14",,-8,+3,+3,,
"クレセントスラッシュコンボ(1)～背向け

上
 / 17",18F,-7,+7,+7,,"S2変更：発生20F→18F
ガード後、お互いの硬直軽減
ヒット+9F→+7F"
"クレセントスラッシュコンボ

上,中
 / 17,27",,-13,D※,浮※,,1段目から連続ヒット
"シールドスマッシュ

中
 / 20",26F,-11,D※,D※,,"上中段パンチ捌き、発生3～10F
S2変更：判定強化"
"ソードオブザファザー

中段ガード不能
 / 50",69F,D,D※,D※,,
