技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ
 or 
上
 / 7",10F,+1,+8,+8,,
"ワンツーパンチ

上,上
 / 7,12",,-1,+6,+6,39,1段目から連続ヒット
"10連コンボ(3)
ﾖﾐ

上,上,中
 / 7,12,7",,-25,-14,-14,,"1段目から連続ヒット
技後、先行入力不可"
"逆PDKコンボ
ﾖﾐ

上,下
 / 7,8",,-11,+1,+1,,"1段目カウンターから連続ヒット
しゃがみ帰着"
"クロスストレート

上
 / 10",10F,±0,+6,+6,,
"PKコンボ
ﾖﾐ

上,上
 / 12,21",,-12,D※,D＊,,1段目カウンターから連続ヒット
"PDKコンボ
ﾖﾐ

上,下
 / 10,11",,-12,-1,-1,,"1段目カウンターから連続ヒット
しゃがみ帰着"
"震軍(1)
ﾖﾐ

中
 / 14",15F,-7,+4,+4,41,
"震軍
ﾖﾐ

中,上
 / 14,17",,-3,+7,D※,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予6F
S2変更：下判定強化"
"ハイキック

上
 / 17",12F,-7,+7,浮,38,入力でリーチ伸
"クロスストレート

上
 / 10",12F,±0,+6,+6,,
"クイックPK
ﾖﾐ

上,上
 / 10,16",,-11,+5,+5,,1段目から連続ヒット
"クイックPKスマッシュ
ﾖﾐ

上,上,中
 / 10,16,22",,-12,D,+19,,"2段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予15F"
"バックスピンキック

上
 / 30",16F,-16,D,D,,
"鉞打ち
ﾖﾐ

中
 / 22",20F,+3S,+8S,D※,,"ガード or ノーマルヒットで強制しゃがみ
判定持続1F"
"富嶽
ﾖﾐ

中
 / 21",21F,-14,D※,D※,,"S2変更：ダメージ26→21
ノーマルダウン、カウンター転がりうつ伏せダウン→頭叩きつけダウン"
"ボディブロー

中
 / 13",14F,-2,+4,+4,35,
"獅子吼(2)
ﾖﾐ

中,上
 / 13,9",,-5,+5,+8,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予5F"
"獅子吼
ﾖﾐ

中,上,中
 / 13,9,22",,-9,D※,D※,,"2段目カウンターから連続ヒット
S2変更：崩れダウン（尻餅）→頭叩きつけダウン"
"ボディスウェー～浮草
ﾖﾐ

中,特殊
 / 13",14F,+3,+9,+9,,浮草（）に派生
"ボディスウェー～浮草キャンセル
ﾖﾐ
任意
中,特殊
 / 13",14F,+2,+8,+8,,"キャンセルは先行入力できない
入力以外の任意技で浮草をキャンセルできる"
"ショートアッパー

中
 / 13",15F,-8,浮,浮,42,しゃがみノーマルヒットは+3F＆空中やられ
"鳳翔脚(1)
ﾖﾐ

中
 / 14",16F,-9,+2,+2,,
"鳳翔脚
ﾖﾐ

中,中
 / 14,17",,-10,+6,D※,,"1段目から連続ヒット
ホールドでディレイ可
ヒット確認猶予3F
よろけ回復時、ポール側+6F"
"鳳翔脚（2段目ホールド）
ﾖﾐ
ホールド
中,中
 / 14,25",,-6,D※,D※,,"よろけ回復時、ポール側+6F
1段目ガードから割り込み発生20F以内
1段目ヒットから割り込み発生9F以内"
"鳩尾
ﾖﾐ

中
 / 21",19F,-1,+9,D※,44,
"瓦割り
ﾖﾐ

中
 / 16",14F,-9,+2,+3S,42,カウンターで強制しゃがみ
"瓦割り～しゃがみ
ﾖﾐ

中
 / 16",14F,-9,+2,+3S,42,"しゃがみ帰着
カウンターで強制しゃがみ"
"瓦割り崩拳
ﾖﾐ

中,中
 / 16,26",,-17,D,D※,,"1段目カウンターから連続ヒット
S2変更：ガードバック軽減"
"瓦割り崩拳（ホールド）
ﾖﾐ
ホールド
中,中
 / 16,39",,+20G,D,D※,,"1段目ガードから割り込み24F以内
1段目ヒットから割り込み13F以内"
"瓦割り落葉(2)
ﾖﾐ

中,下
 / 16,15",,-31,-17,D※,,"1段目カウンターから連続ヒット
ガードで3段目派生不可
S2変更：ガードバック軽減"
"瓦割り落葉
ﾖﾐ

中,下,中
 / 16,15,21",,-14,D,D※,,
"シットストレート

特中
 / 8",11F,-4,+7,+7,,"CS4F
しゃがみ帰着"
"シットスピンキック

下
 / 12",16F,-17,-3,-3,,"CS4F
しゃがみ帰着"
"落葉(1)（クリーンヒット）
ﾖﾐ
 or 崩拳ステップ（）中
下
 / 13",15F,-31,D※,D※,,S2変更：ガードバック軽減
"落葉(1)
ﾖﾐ
 or 崩拳ステップ（）中
下
 / 9",15F,-31,-17,D※,,S2変更：ガードバック軽減
"落葉
ﾖﾐ

下,中
 / 13,23",,-18,-9,-9,,
"竜王霹靂掌
ﾖﾐ

下,中,中
 / 13,23,22(30)",,-17,D,D※,,"2段目から連続ヒット
ダメージ()内は3段目ジャスト入力時
ジャスト入力の受付タイミングはジャストとその直後の計2F
2段目からホールド入力した場合は3段目ジャスト入力が成立しない
S2変更：ジャスト入力のダメージ25→30"
"鉄山靠
ﾖﾐ

中
 / 30",12F,-16,D,D,,
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
