技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ

上
 / 7",10F,+1,+8,+8,,S2変更：(Ver.2.20)ヒットバック軽減
"スピカ

上,上
 / 7,9",,-1,+5,+5,,"1段目から連続ヒット
S2変更：(Ver.2.20)ヒットバック軽減"
"スピカ･ストマックヒット

上,上,中
 / 7,9,17",,-11,+3,D※,,"ディレイ可
カウンター時、発生12Fまで地上ヒット
1 or 2段目カウンターから連続ヒット
1段目カウンターからの確認猶予14F
S2変更：・ダメージ14→17
・ガード硬直-13F→-11F
・ヒット-2F→+3F
・ディレイ幅を5F延長"
"スピカ･ブラインディングサンド

上,上,上
 / 7,9,18",,-8,+3,+3,,"ディレイ可
1 or 2段目カウンターから連続ヒット
S2変更：ヒット+13GF→+3F
ヒットバック軽減
(Ver.2.20)ヒットバック軽減"
"スピカ･ブラインディングサンド～SI

上,上,上,特殊
 / 7,9,18",,-1,+10,+10,,S2変更：新技
"スピカ･ブラインディングサンド～SIキャンセル

上,上,上,特殊
 / 7,9,18",,-2,+9,+9,,"しゃがみ帰着
先行入力が不可になる
S2変更：新技"
"スピカ･ホイールスピン

上,上,中
 / 7,9,20",,-13,D※,D※,,ディレイ可
"クロスストレート

上
 / 10",10F,±0,+6,+6,,"S2変更：ガード硬直+1F→±0F
ヒット+7F→+6F"
"カットイン

上,中
 / 10,7",,-4,+2,+2,,"1段目から連続ヒット
S2変更：ガード硬直-6F→-4F
ヒット±0F→+2F"
"ポリマ・ブラインディングサンド

上,上
 / 10,18",,-8,+3,+3,,"1段目から連続ヒット
S2変更：新技
(Ver.2.20)ヒットバック軽減"
"ポリマ・ブラインディングサンド～SI

上,上,特殊
 / 10,18",,-1,+10,+10,,"1段目から連続ヒット
S2変更：新技"
"ポリマ・ブラインディングサンド～SIキャンセル

上,上,特殊
 / 10,18",,-2,+9,+9,,"しゃがみ帰着
先行入力が不可になる
S2変更：新技"
"ブラインディングサンド
 or 
上
 / 20",14F,-8,+3,+3,,"S2変更：ヒット+13GF→+3F
ヒットバック軽減
(Ver.2.20)ヒットバック軽減"
"ブラインディングサンド～SI

上,特殊
 / 20",,-1,+10,+10,,S2変更：ヒット+20GF→+10F
"ブラインディングサンド～SIキャンセル

上,特殊
 / 20",,-2,+9,+9,,"しゃがみ帰着
先行入力が不可になる
S2変更：ヒット+19GF→+9F"
"ハルクスキック

上
 / 16",11F,-10,+1,浮,40,"S2変更：ガード硬直-9F→-10F
ノーマルヒット+2F→+1F
全体硬直39F→40F"
"ハルクスキック･アルゲニブ

上,上
 / 16,12",,-5,+4,+4,,"1段目から連続ヒット
S2変更：2段目発生を遅くした
ガード硬直-4F→-5F"
"ハルクスキック･カットハイ

上,上
 / 16,21",42F,-1,D※,D＊,,Sc
"ハルクスキック･ラエド

上,中
 / 16,25",35F,-13,D※,D※,,S2変更：ガードバック軽減
"サイレントスティング(1)

上
 / 12",12F,-8,-2,-2,,
"サイレントスティング

上,上
 / 12,20",,-12,D※,D※,,"1段目から連続ヒット
S2変更：ヒット+9F→吹き飛びダウン"
"サイレントフロー(2)

上,下
 / 12,13",,-13,-2,D※,,
"サイレントフロー(2)~SI

中,下,特殊
 / 12,13",,-18,-7,D※,,
"サイレントフロー(2)~SIキャンセル

中,下,特殊
 / 12,13",,-17,-8,D※,,
"サイレントフロー

上,下,上
 / 12,13,21",,-3,+14K,D※,,"Sc
S2変更：カウンター+14KF→スクリューダウン
判定強化"
"クレセントムーン

中
 / 17",21F,-5,+6,D※,,"JS13F
S2変更：ダメージ15→17"
"ピアッシングタロン

上
 / 17",15F,-2,+15K,D※,43,"HSc
S2変更：ノーマルヒット+2F→+15KF"
"スカイライン

中中
 / 14,14",22F,-11,+1S,+1S,,"JS11F
ヒットで強制しゃがみ"
"スカイライン～SI

中中,特殊
 / 14,14",,+1,+13S,+13S,,"しゃがみ帰着
ヒットで強制しゃがみ"
"スカイライン～SIキャンセル

中中,特殊
 / 14,14",,±0,+12S,+12S,,"しゃがみ帰着
ヒットで強制しゃがみ"
"ステップインアッパー

中
 / 12",13F,-1,+5,+5,33,
"ライジングファルコン

中
 / 13",15F,-7,浮,浮,41,しゃがみノーマルヒットは浮かない（+4F）
"イウサール

中
 / 20",17F,-9,+12K,+12K,,HSc
"スティングキック

中
 / 16",14F,-9,+2,+2,42,
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"ストマックインパクト

中
 / 18",18F,-6,+8,+8,,
"サイレントリゲル

下
 / 14",16F,-14,±0,±0,,"CS6F
しゃがみ帰着
S2変更：ガード硬直-17F→-14F
ヒット-3F→±0F"
"サイレントリゲル～SI

下,特殊
 / 14",,-10,+4,+4,,"CS6F
S2変更：ガード硬直-11F→-10F
ヒット+3F→+4F"
"サイレントリゲル～SIキャンセル

下,特殊
 / 14",,-14,±0,±0,,"CS6F
S2変更：ガード硬直-12F→-14F
ヒット+2F→±0F"
"ステップオン

下
 / 13",19F,-12,+1,+1,,S2変更：ガードバック軽減
"ラピッドバッシュ(1)

中
 / 11",14F,-10,+1,+1,43,"S2変更：ガード硬直-5F→-10F
ヒット+6F→+1F
全体硬直38F→43F"
"ラピッドバッシュ(1)～SI

中,特殊
 / 11",,-3,+8,+8,,
"ラピッドバッシュ(1)～SIキャンセル

中,特殊
 / 11",,-4,+7,+7,,
