技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"リードジャブ

上
 / 7",10F,+1,+8,+8,,
"ダブルジャブ

上,上
 / 7,7",,-3,+3,+3,,1段目から連続ヒット
"ダブルジャブ～各種構え
～
上,上,特殊
 / 7,7",,-6,±0,±0,,"WL移行（）
WR移行（）
SW移行（ or ）
1段目から連続ヒット"
"ダブルジャブ～DUK
 or 
上,上,特殊
 / 7,7",,-4,+2,+2,,"移行後、シーイーグルフック（DUK中）のみ先行入力発生が2F早い
1段目から連続ヒット"
"ライトニングコンビネーション

上,上,上
 / 7,7,15",,-7,+4,+4,,1段目から連続ヒット
"ライトニングコンビネーション～各種構え
～
上,上,上,特殊
 / 7,7,15",,-5,+6,+6,,"WL移行（）
WR移行（）
SW移行（ or ）
1段目から連続ヒット"
"ライトニングコンビネーション～DUK
 or 
上,上,上,特殊
 / 7,7,15",,-3,+8,+8,,"移行後、シーイーグルフック（DUK中）のみ先行入力発生が2F早い
1段目から連続ヒット"
"ダブルジャブ～ボディブロー

上,上,中
 / 7,7,15",,-6,±0,+5,,
"ダブルジャブ～ボディブロー～FLC

上,上,中,特殊
 / 7,7,15",,±0,+6,+11,,
"ジャブ～ボディブロー

上,中
 / 7,15",,-6,±0,+5,,
"ジャブ～ボディブロー～FLC

上,中,特殊
 / 7,15",,±0,+6,+11,,
"ワンツー

上,上
 / 7,10",,-2,+6,+6,,1段目から連続ヒット
"ワンツー～各種構え
～
上,上,特殊
 / 7,10",,-4,+4,+4,,"WL移行（）
WR移行（）
SW移行（ or ）
1段目から連続ヒット"
"ワンツー～DUK
 or 
上,上,特殊
 / 7,10",,-2,+6,+6,,"移行後、シーイーグルフック（DUK中）のみ先行入力発生が2F早い
1段目から連続ヒット"
"ワンツースリー

上,上,上
 / 7,10,15",,-3,+3,+3,,1 or 2段目カウンターから連続ヒット
"ワンツースリー～PKB

上,上,上,特殊
 / 7,10,15",,-2,+4,+4,,1 or 2段目カウンターから連続ヒット
"ワンツースリー～FLC

上,上,上,特殊
 / 7,10,15",,-1,+5,+5,,1 or 2段目カウンターから連続ヒット
"ワンツースリー～各種構え
～
上,上,上,特殊
 / 7,10,15",,-6,±0,±0,,"WL移行（）
WR移行（）
SW移行（ or ）
1 or 2段目カウンターから連続ヒット"
"ワンツースリー～DUK
 or 
上,上,上,特殊
 / 7,10,15",,-4,+2,+2,,"移行後、シーイーグルフック（DUK中）のみ先行入力発生が2F早い
1 or 2段目カウンターから連続ヒット"
"ブリティッシュエッジコンボ

上,上,上,中
 / 7,10,15,15",,-10,D,D,,3段目カウンターから連続ヒット
"ブリティッシュエッジコンボ～各種構え
～
上,上,上,中,特殊
 / 7,10,15,15",,-6,D,D,,"WL移行（）
WR移行（）
SW移行（ or ）
3段目カウンターから連続ヒット"
"ブリティッシュエッジコンボ～DUK
 or 
上,上,上,中,特殊
 / 7,10,15,15",,-4,D,D,,"移行後、シーイーグルフック（DUK中）のみ先行入力発生が2F早い
3段目カウンターから連続ヒット"
"ブリティッシュエッジ･ロー

上,上,上,下
 / 7,10,15,19",,-12,+1S,D※,,"CS
ノーマルヒットで強制しゃがみ"
"ブリティッシュエッジ･ロー～しゃがみ

上,上,上,下
 / 7,10,15,19",,-12,+1S,D※,,"CS
ノーマルヒットで強制しゃがみ
しゃがみ帰着"
"クロスストレート

上
 / 12",12F,-1,+5,+5,,
"ストレート～ボディ

上,上
 / 12,14",,-5,+6,+6,,1段目から連続ヒット
"ストレート～ボディ～PKB

上,上,特殊
 / 12,14",,+2,+13G,+13,,1段目から連続ヒット
"ストレート～ボディ～FLC

上,上,特殊
 / 12,14",,+3,+14G,+14,,1段目から連続ヒット
"ヴァンガードラッシュ

上,上,中
 / 12,14,22",,-11,D,D,,"2段目カウンターから連続ヒット
ディレイ幅11F
カウンター確認猶予5F"
"ダックインボディ

中
 / 11",21F,-6,+5,+5,,しゃがみステータスなし
