技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"雀手
ﾖﾐ
 or 
上
 / 7",10F,+1,+8,+8,,
"雀連手
ﾖﾐ

上,上
 / 7,8",,-1,+5,+5,,1段目から連続ヒット
"雀連架推掌
ﾖﾐ

上,上,中
 / 7,8,20",,-9,D,D,,"2段目カウンターから連続ヒット
ディレイ幅9F
カウンター確認猶予9F"
"雀連砲～背向け
ﾖﾐ

上,中
 / 7,10",,-3,+8,+10,,"背向け移行
1段目から連続ヒット"
"雀連砲～正面
ﾖﾐ

上,中
 / 7,10",,-4,+7,+9,,"正面向きの追加入力は任意方向ボタンで可
1段目から連続ヒット"
"雀連転身激璧掌
ﾖﾐ

上,中,中
 / 7,10,24",,-12,D※,D※,,2段目カウンターから連続ヒット
"右雀手
ﾖﾐ

上
 / 8",10F,-2,+6,+6,,
"雀翼背掌～背向け
ﾖﾐ

上,中
 / 8,10",,-4,+7,+7,,"背向け移行
1段目カウンターから連続ヒット"
"雀翼背掌～正面
ﾖﾐ

上,中
 / 8,10",,-4,+7,+7,,"正面向きの追加入力は任意方向ボタンで可
1段目カウンターから連続ヒット"
"括面脚
ﾖﾐ

上
 / 17",14F,-11,D※,D※,49,"Sc
S2変更：ダメージ20→17
ガード硬直-7F→-11F
全体硬直45F→49F"
"ハイキック

上
 / 15",11F,-9,+8,浮,39,
"宙転断空脚
ﾖﾐ
【】
中
 / 23",23F,-1S,+3S,D※,,"JS10F
発生はコマンド完成から
先行入力からの発生は24F
しゃがみ帰着
ガード or ノーマルヒットで強制しゃがみ
判定持続1Fまで確認"
"宙転断空脚～鳳凰の構え
ﾖﾐ
【】
中,特殊
 / 23",,±0S,+4S,D※,,"JS10F
鳳凰の構え（）に移行
ガード or ノーマルヒットで強制しゃがみ"
"撃璧掌
ﾖﾐ

中
 / 24",20F,-7,D※,D※,,
"白陽転舞(1)
ﾖﾐ

中
 / 12",16F,-7,+4,+4,,
"白陽転舞(2)
ﾖﾐ

中,上
 / 12,14",,-3,+8,+10,,1段目から連続ヒット
"白陽転舞
ﾖﾐ

中,上,中
 / 12,14,20",,-12,D※,D※,,"Sc
2段目カウンターから連続ヒット
ディレイ可"
"火離双翼(1)
ﾖﾐ

中
 / 14",16F,-9,+2,+2,,
"火離双翼(2)～背向け
ﾖﾐ

中,中
 / 14,8",,-4,+7,+7,,背向け移行
"火離双翼
ﾖﾐ

中,中,中中
 / 14,8,6,20",,-12,+7S,+7S,,"ヒットで強制しゃがみ
2段目から連続ヒット"
"井鴦脚
ﾖﾐ

上
 / 23",19F,+1,D※,D※,,"HSc
S2変更：発生20F→19F
ガード硬直±0F→+1F"
"隠者出廬
ﾖﾐ

中
 / 25",12F,-16,D※,D※,,
"前転
ﾖﾐ

特殊
 / -",,,,,40,"JS12F
しゃがみ帰着"
"前転～穿弓腿
ﾖﾐ

特殊,中中中
 / 8,8,14",46F,-10,D※,D※,,"JS12F
しゃがみ帰着
S2変更：ガード硬直-13F→-10F
ヒットで+6F→くの字ダウン"
"前転～鳳凰の構え
ﾖﾐ

特殊,特殊
 / -",,,,,55,鳳凰の構え（）に移行
"上歩掌拳～背向け
ﾖﾐ

中
 / 11",14F,-4,+7,+7,37,"CS6F
背向け移行
S2変更：ダメージ15→11
ヒット判定弱体化
ホーミング性能低下"
"上歩掌拳～正面
ﾖﾐ

中
 / 11",,-4,+7,+7,,CS6F
"挑打華蘭
ﾖﾐ

中
 / 15",15F,-6,+5,+5,,
"挑打連掌
ﾖﾐ
【】
中中
 / 8,12",15F,-13,浮,浮,,"発生はコマンド入力開始からの値
先行入力可
S2変更：ガード硬直-12F→-13F"
"燕旋腿
ﾖﾐ

上
 / 23",23F,-8,D※,D※,,"Pw8F
判定持続1F"
"順蹴り
ﾖﾐ

中
 / 12",12F,-4,+7,+7,35,
"烏龍盤打
ﾖﾐ

中中中
 / 7,7,7",17F,-9,+3S,+3S,,"相手体格でフレームが前後しやすい
ヒットで強制しゃがみ
しゃがみ帰着
3段目判定持続3Fまで確認"
"烏龍盤打～鳳凰の構え
ﾖﾐ

中中中,特殊
 / 7,7,7",,-13,-1S,-1S,,"鳳凰の構え（）に移行
相手体格でフレームが前後しやすい
ヒットで強制しゃがみ
3段目判定持続3Fまで確認"
"シットストレート
 or 
特中
 / 8",11F,-4,+7,+7,,"CS4F
しゃがみ帰着"
"跌釵
ﾖﾐ

下
 / 12",14F,-12,-3,+1,,"CS6F
しゃがみ帰着"
"跌釵井鴦脚
ﾖﾐ

下,上
 / 12,21",,±0,D※,D※,,1段目カウンターから連続ヒット
"ローキック

下
 / 7",12F,-13,-2,-2,,"CS4F
しゃがみ帰着
S2変更：判定弱体化"
"架推掌
ﾖﾐ

中
 / 30",18F,-9,D,D※,,
"暗脚
ﾖﾐ

下
 / 0",15F,+2S,+2S,+2S,,ガード or ヒットで強制しゃがみ
"斧刃脚
ﾖﾐ

下
 / 12",18F,-12,+7S,D※,,ノーマルヒットで強制しゃがみ
"左捌き～背向け
ﾖﾐ

中
 / 10",8F,-12,+1,+1,,"ヒット時のみ背向け移行
判定持続4Fまで確認
密着でない限りは持続判定で接触
ヒット有利は持続に関係なく一定"
"左捌き～正面
ﾖﾐ

中
 / 10",,-12,-1,-1,,
"七星穿掌(1)～背向け
ﾖﾐ

中
 / 13",15F,-6,+5,+5,,"H
背向け移行"
"七星穿掌～背向け
ﾖﾐ

中,下
 / 13,10",,-8,+3,+3,,"背向け移行
1段目から連続ヒット
ディレイ可
ヒット確認猶予9F"
"背抱提蹴～背向け
ﾖﾐ

上
 / 22",18F,-4,+7S,D※,,"背向け移行
ノーマルヒットで強制しゃがみ
判定持続1F"
"即弾連脚(1)
ﾖﾐ

中
 / 14",13F,-11,±0,±0,,判定持続1Fまで確認
"即弾連脚
ﾖﾐ

中,上
 / 14,17",,-9,+14K,+14K,,"Sc
1段目から連続ヒット
ディレイ可
ヒット確認猶予10F
S2変更：ガード硬直-11F→-9F
ヒット+12KF→+14KF"
