技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"クイックジャブ

上
 / 7",10F,+1,+8,+8,,
"殴り兜割り
ﾖﾐ

上,中
 / 7,19",,-9,+4S,D※,,"1段目から連続ヒット
ノーマルヒットで強制しゃがみ"
"LP10連コンボ(2)

上,中
 / 7,12",,-9,-3,-3,,1段目から連続ヒット
"LP10連コンボ(3)

上,中,上
 / 7,12,15",,-6,+7,D※,,
"クロスストレート

上
 / 10",10F,-1,+5,+8,,
"正拳胴払い
ﾖﾐ

上,中
 / 10,23",,-9,D※,D※,,"Sc
1段目カウンターから連続ヒット
納刀時、唐繰渦巻に変化
S2変更：1段目カウンターからコンボ
（つなぎが早くなった）"
"正拳胴払い～キャンセル
ﾖﾐ

上,特殊
 / 10",,-13,-7,-4,,"S2変更：ガード硬直-16F→-13F
ヒット-10F→-7F
カウンター-7F→-4F
（吉光側の硬直減）"
"凧殴り
ﾖﾐ

上,上
 / 10,8",,-1,+5,+5,,1段目から連続ヒット
"凧殴り～金打
ﾖﾐ

上,上,特殊
 / 10,8",,-1,+5,+5,,"1段目から連続ヒット
厳頭（金打中）派生は2F早い"
"PKコンボ
ﾖﾐ

上,上
 / 10,24",,-10,D※,D※,,"Sc
1段目カウンターから連続ヒット"
"PDKコンボ
ﾖﾐ

上,下
 / 10,11",,-12,-1,-1,,"CS
1段目から連続ヒット
しゃがみ帰着"
"サイドハイキック

上
 / 15",12F,-9,+5,D,,
"跳び牛若
ﾖﾐ
【】
中中
 / 12,16",17F,-6,+3,+3,,"JS12F
発生の値はコマンド完成から
硬直からの最速発生は18F
S2変更：追尾性能低下"
"跳び牛若～卍蜻蛉
ﾖﾐ
【】
中中,
 / 12,16",,+5,+14,+14,,"JS12F
S2変更：追尾性能低下"
"リバースサイドキック

上
 / 12",15F,-11,±0,D,,
"三散華(2)
ﾖﾐ

上,上
 / 12,12",,-4,-2,-2,,1段目から連続ヒット
